2025-11-28 10:31:57 | INFO | root | Training thubenchmark with tsception
2025-11-28 10:31:57 | INFO | root | Namespace(dataset='thubenchmark', model='tsception', epochs=400, batch_size=128, lr=0.01, weight_decay=0.01, patience=20, seed=42, gpu_id=0)
2025-11-28 10:31:57 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-28 10:32:00 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-28 10:32:00 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-28 10:32:00 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 10:32:01 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-28 10:32:01 | INFO | root | Model: tsception, Parameter Num: 27557
2025-11-28 10:32:01 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-28 10:32:01 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 10:32:01 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-28 10:32:22 | INFO | root | Epoch: 1, Train Loss: 3.2099, Val Acc: 0.1500, Val Loss: 2.4827, Test Acc: 0.1536, Test Loss: 2.4984, Learning Rate: 0.010000
2025-11-28 10:32:41 | INFO | root | Epoch: 2, Train Loss: 2.3011, Val Acc: 0.2667, Val Loss: 1.9188, Test Acc: 0.2381, Test Loss: 1.9503, Learning Rate: 0.010000
2025-11-28 10:32:59 | INFO | root | Epoch: 3, Train Loss: 2.0503, Val Acc: 0.2071, Val Loss: 1.9445, Test Acc: 0.2036, Test Loss: 1.9788, Learning Rate: 0.010000
2025-11-28 10:33:17 | INFO | root | Epoch: 4, Train Loss: 1.9438, Val Acc: 0.3060, Val Loss: 1.7201, Test Acc: 0.2940, Test Loss: 1.7324, Learning Rate: 0.010000
2025-11-28 10:33:34 | INFO | root | Epoch: 5, Train Loss: 1.8600, Val Acc: 0.3500, Val Loss: 1.6301, Test Acc: 0.3690, Test Loss: 1.6199, Learning Rate: 0.010000
2025-11-28 10:33:52 | INFO | root | Epoch: 6, Train Loss: 1.7689, Val Acc: 0.3357, Val Loss: 1.7206, Test Acc: 0.3274, Test Loss: 1.7454, Learning Rate: 0.010000
2025-11-28 10:34:09 | INFO | root | Epoch: 7, Train Loss: 1.7432, Val Acc: 0.3179, Val Loss: 1.7298, Test Acc: 0.3595, Test Loss: 1.7985, Learning Rate: 0.010000
2025-11-28 10:34:29 | INFO | root | Epoch: 8, Train Loss: 1.6740, Val Acc: 0.4036, Val Loss: 1.4636, Test Acc: 0.3905, Test Loss: 1.5232, Learning Rate: 0.010000
