2025-12-03 10:50:43 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-12-03 10:50:43 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank15_fft.yaml', sample_num=512)
2025-12-03 10:50:43 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-12-03 10:50:44 | INFO | root | Dataset: thubenchmark
2025-12-03 10:50:44 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-12-03 10:50:44 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-03 10:50:44 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-12-03 10:50:44 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-12-03 10:50:44 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-12-03 10:50:44 | INFO | root | Model: eegnet, fold: 0
2025-12-03 10:50:45 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-12-03 10:50:45 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-12-03 10:50:45 | INFO | root | End purification for resolution 8*8, loss=0.05998733639717102
2025-12-03 10:50:45 | INFO | root | End purification for resolution 16*16, loss=0.15362174808979034
2025-12-03 10:50:45 | INFO | root | End purification for resolution 32*32, loss=0.22818602621555328
2025-12-03 10:50:46 | INFO | root | End purification for resolution 64*64, loss=0.16182327270507812
2025-12-03 10:50:46 | INFO | root | Training time: 1.6797564029693604, loss: 0.16182327270507812, params_num: 12600
2025-12-03 10:50:46 | INFO | root | Purified data 0, mse:0.2900231182575226
2025-12-03 10:50:46 | INFO | root | 
2025-12-03 10:50:47 | INFO | root | End purification for resolution 8*8, loss=0.08427314460277557
2025-12-03 10:50:47 | INFO | root | End purification for resolution 16*16, loss=0.16582459211349487
2025-12-03 10:50:47 | INFO | root | End purification for resolution 32*32, loss=0.2092786431312561
2025-12-03 10:50:48 | INFO | root | End purification for resolution 64*64, loss=0.14504998922348022
2025-12-03 10:50:48 | INFO | root | Training time: 1.6684603691101074, loss: 0.14504998922348022, params_num: 12600
2025-12-03 10:50:48 | INFO | root | Purified data 1, mse:0.260397732257843
2025-12-03 10:50:48 | INFO | root | 
