2025-11-27 22:24:57 | INFO | root | Training thubenchmark with tsception
2025-11-27 22:24:57 | INFO | root | Namespace(dataset='thubenchmark', model='tsception', epochs=400, batch_size=128, lr=0.001, weight_decay=0.01, patience=20, seed=42, gpu_id=0)
2025-11-27 22:24:57 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-27 22:25:01 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-27 22:25:01 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-27 22:25:01 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-27 22:25:01 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-27 22:25:01 | INFO | root | Model: tsception, Parameter Num: 27557
2025-11-27 22:25:01 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-27 22:25:01 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-27 22:25:01 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-27 22:25:25 | INFO | root | Epoch: 1, Train Loss: 3.6468, Val Acc: 0.0500, Val Loss: 3.4966, Test Acc: 0.0500, Test Loss: 3.4951, Learning Rate: 0.001000
2025-11-27 22:25:43 | INFO | root | Epoch: 2, Train Loss: 3.3636, Val Acc: 0.0571, Val Loss: 3.1867, Test Acc: 0.0500, Test Loss: 3.1821, Learning Rate: 0.001000
2025-11-27 22:26:39 | INFO | root | Epoch: 3, Train Loss: 3.1667, Val Acc: 0.0810, Val Loss: 2.9976, Test Acc: 0.0762, Test Loss: 2.9961, Learning Rate: 0.001000
2025-11-27 22:27:26 | INFO | root | Epoch: 4, Train Loss: 2.9348, Val Acc: 0.2262, Val Loss: 2.6291, Test Acc: 0.2143, Test Loss: 2.6451, Learning Rate: 0.001000
2025-11-27 22:27:44 | INFO | root | Epoch: 5, Train Loss: 2.6092, Val Acc: 0.2607, Val Loss: 2.3430, Test Acc: 0.2631, Test Loss: 2.3544, Learning Rate: 0.001000
2025-11-27 22:28:05 | INFO | root | Epoch: 6, Train Loss: 2.4294, Val Acc: 0.2964, Val Loss: 2.1599, Test Acc: 0.3012, Test Loss: 2.1571, Learning Rate: 0.001000
2025-11-27 22:28:30 | INFO | root | Epoch: 7, Train Loss: 2.2832, Val Acc: 0.3464, Val Loss: 2.0242, Test Acc: 0.3714, Test Loss: 2.0350, Learning Rate: 0.001000
2025-11-27 22:28:50 | INFO | root | Epoch: 8, Train Loss: 2.1737, Val Acc: 0.3952, Val Loss: 1.9283, Test Acc: 0.3976, Test Loss: 1.9487, Learning Rate: 0.001000
2025-11-27 22:29:09 | INFO | root | Epoch: 9, Train Loss: 2.0953, Val Acc: 0.4179, Val Loss: 1.8370, Test Acc: 0.4060, Test Loss: 1.8473, Learning Rate: 0.001000
2025-11-27 22:29:29 | INFO | root | Epoch: 10, Train Loss: 2.0104, Val Acc: 0.4048, Val Loss: 1.7734, Test Acc: 0.4179, Test Loss: 1.7899, Learning Rate: 0.001000
2025-11-27 22:29:49 | INFO | root | Epoch: 11, Train Loss: 1.9300, Val Acc: 0.4381, Val Loss: 1.7175, Test Acc: 0.4345, Test Loss: 1.7387, Learning Rate: 0.001000
2025-11-27 22:30:06 | INFO | root | Epoch: 12, Train Loss: 1.8751, Val Acc: 0.4833, Val Loss: 1.6538, Test Acc: 0.4821, Test Loss: 1.6734, Learning Rate: 0.001000
2025-11-27 22:30:32 | INFO | root | Epoch: 13, Train Loss: 1.8200, Val Acc: 0.4726, Val Loss: 1.6270, Test Acc: 0.4262, Test Loss: 1.6601, Learning Rate: 0.001000
2025-11-27 22:30:52 | INFO | root | Epoch: 14, Train Loss: 1.7672, Val Acc: 0.4976, Val Loss: 1.5575, Test Acc: 0.4940, Test Loss: 1.5699, Learning Rate: 0.001000
2025-11-27 22:31:15 | INFO | root | Epoch: 15, Train Loss: 1.7046, Val Acc: 0.5286, Val Loss: 1.4940, Test Acc: 0.5357, Test Loss: 1.5205, Learning Rate: 0.001000
2025-11-27 22:31:44 | INFO | root | Epoch: 16, Train Loss: 1.6647, Val Acc: 0.5500, Val Loss: 1.4603, Test Acc: 0.5571, Test Loss: 1.4827, Learning Rate: 0.001000
2025-11-27 22:32:35 | INFO | root | Epoch: 17, Train Loss: 1.6548, Val Acc: 0.5345, Val Loss: 1.4385, Test Acc: 0.5286, Test Loss: 1.4721, Learning Rate: 0.001000
2025-11-27 22:33:24 | INFO | root | Epoch: 18, Train Loss: 1.6117, Val Acc: 0.5083, Val Loss: 1.4128, Test Acc: 0.4821, Test Loss: 1.4426, Learning Rate: 0.001000
2025-11-27 22:34:32 | INFO | root | Epoch: 19, Train Loss: 1.5903, Val Acc: 0.5476, Val Loss: 1.3734, Test Acc: 0.5167, Test Loss: 1.4008, Learning Rate: 0.001000
