2026-01-06 20:34:12 | INFO | root | Purifying autoattack on seediv with eegnet
2026-01-06 20:34:12 | INFO | root | Namespace(dataset='seediv', model='eegnet', fold=0, attack='autoattack', eps=0.1, batch_size=32, seed=42, gpu_id=3, config='PTR3d_8_2048_rank5_3d_interpolate.yaml', sample_num=512, visualize=False)
2026-01-06 20:34:12 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-06 20:34:25 | INFO | root | Dataset: seediv
2026-01-06 20:34:25 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-06 20:34:25 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 20:34:25 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-06 20:34:25 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 20:34:29 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 62, 1000]), clean_data shape: torch.Size([512, 1, 62, 1000])
2026-01-06 20:34:29 | INFO | root | 
2026-01-06 20:34:29 | INFO | root | Model: eegnet, fold: 0
2026-01-06 20:34:30 | INFO | root | Adversarial data accuracy: 0.0, loss: 13.99525898694992
2026-01-06 20:34:30 | INFO | root | Clean data accuracy: 0.619140625, loss: 0.9411252774298191
2026-01-06 20:34:30 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-06 20:34:32 | INFO | root | End purification for resolution 128*128, loss=0.34319543838500977, iterations=256
2026-01-06 20:34:33 | INFO | root | End purification for resolution 256*256, loss=0.32790857553482056, iterations=256
2026-01-06 20:34:35 | INFO | root | End purification for resolution 512*512, loss=0.3786526322364807, iterations=512
2026-01-06 20:34:40 | INFO | root | End purification for resolution 1024*1024, loss=0.4151671230792999, iterations=1024
2026-01-06 20:34:40 | INFO | root | Training time: 10.02693510055542, loss: 0.4151671230792999, params_num: 2038
2026-01-06 20:34:41 | INFO | root | Purified data 0, shape: torch.Size([1, 62, 1000]), mse:0.5100851058959961, compression rate: 0.032870967741935486, 30.42198233562316x
2026-01-06 20:34:41 | INFO | root | 
2026-01-06 20:34:41 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-06 20:34:42 | INFO | root | End purification for resolution 128*128, loss=0.5098693370819092, iterations=256
2026-01-06 20:34:43 | INFO | root | End purification for resolution 256*256, loss=0.39663904905319214, iterations=256
2026-01-06 20:34:46 | INFO | root | End purification for resolution 512*512, loss=0.42480817437171936, iterations=512
2026-01-06 20:34:51 | INFO | root | End purification for resolution 1024*1024, loss=0.4580514132976532, iterations=1024
2026-01-06 20:34:51 | INFO | root | Training time: 10.725005388259888, loss: 0.4580514132976532, params_num: 2038
2026-01-06 20:34:52 | INFO | root | Purified data 1, shape: torch.Size([1, 62, 1000]), mse:0.551582932472229, compression rate: 0.032870967741935486, 30.42198233562316x
2026-01-06 20:34:52 | INFO | root | 
2026-01-06 20:34:52 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-06 20:34:53 | INFO | root | End purification for resolution 128*128, loss=0.3766181468963623, iterations=256
2026-01-06 20:34:54 | INFO | root | End purification for resolution 256*256, loss=0.40137821435928345, iterations=256
2026-01-06 20:34:57 | INFO | root | End purification for resolution 512*512, loss=0.5184024572372437, iterations=512
2026-01-06 20:35:03 | INFO | root | End purification for resolution 1024*1024, loss=0.5906041264533997, iterations=1024
2026-01-06 20:35:03 | INFO | root | Training time: 10.812177181243896, loss: 0.5906041264533997, params_num: 2038
2026-01-06 20:35:03 | INFO | root | Purified data 2, shape: torch.Size([1, 62, 1000]), mse:0.7174497842788696, compression rate: 0.032870967741935486, 30.42198233562316x
2026-01-06 20:35:03 | INFO | root | 
2026-01-06 20:35:03 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-06 20:35:04 | INFO | root | End purification for resolution 128*128, loss=0.42392468452453613, iterations=256
2026-01-06 20:35:05 | INFO | root | End purification for resolution 256*256, loss=0.39517664909362793, iterations=256
2026-01-06 20:35:08 | INFO | root | End purification for resolution 512*512, loss=0.5080435276031494, iterations=512
2026-01-06 20:35:13 | INFO | root | End purification for resolution 1024*1024, loss=0.5788745880126953, iterations=1024
2026-01-06 20:35:13 | INFO | root | Training time: 9.808340549468994, loss: 0.5788745880126953, params_num: 2038
2026-01-06 20:35:13 | INFO | root | Purified data 3, shape: torch.Size([1, 62, 1000]), mse:0.6856783032417297, compression rate: 0.032870967741935486, 30.42198233562316x
2026-01-06 20:35:13 | INFO | root | 
2026-01-06 20:35:13 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-06 20:35:14 | INFO | root | End purification for resolution 128*128, loss=0.469940721988678, iterations=256
2026-01-06 20:35:15 | INFO | root | End purification for resolution 256*256, loss=0.3733843266963959, iterations=256
2026-01-06 20:35:18 | INFO | root | End purification for resolution 512*512, loss=0.4864717721939087, iterations=512
2026-01-06 20:35:23 | INFO | root | End purification for resolution 1024*1024, loss=0.5579710602760315, iterations=1024
2026-01-06 20:35:23 | INFO | root | Training time: 9.382736206054688, loss: 0.5579710602760315, params_num: 2038
2026-01-06 20:35:23 | INFO | root | Purified data 4, shape: torch.Size([1, 62, 1000]), mse:0.6591492295265198, compression rate: 0.032870967741935486, 30.42198233562316x
2026-01-06 20:35:23 | INFO | root | 
2026-01-06 20:35:23 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-06 20:35:24 | INFO | root | End purification for resolution 128*128, loss=0.31740039587020874, iterations=256
2026-01-06 20:35:25 | INFO | root | End purification for resolution 256*256, loss=0.33303946256637573, iterations=256
2026-01-06 20:35:28 | INFO | root | End purification for resolution 512*512, loss=0.4138792157173157, iterations=512
2026-01-06 20:35:34 | INFO | root | End purification for resolution 1024*1024, loss=0.46495339274406433, iterations=1024
2026-01-06 20:35:34 | INFO | root | Training time: 10.634360313415527, loss: 0.46495339274406433, params_num: 2038
2026-01-06 20:35:34 | INFO | root | Purified data 5, shape: torch.Size([1, 62, 1000]), mse:0.5552148222923279, compression rate: 0.032870967741935486, 30.42198233562316x
2026-01-06 20:35:34 | INFO | root | 
2026-01-06 20:35:34 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-06 20:35:36 | INFO | root | End purification for resolution 128*128, loss=0.4298376441001892, iterations=256
2026-01-06 20:35:37 | INFO | root | End purification for resolution 256*256, loss=0.35178226232528687, iterations=256
2026-01-06 20:35:40 | INFO | root | End purification for resolution 512*512, loss=0.4976438879966736, iterations=512
2026-01-06 20:35:45 | INFO | root | End purification for resolution 1024*1024, loss=0.5864318013191223, iterations=1024
2026-01-06 20:35:45 | INFO | root | Training time: 11.36051082611084, loss: 0.5864318013191223, params_num: 2038
2026-01-06 20:35:45 | INFO | root | Purified data 6, shape: torch.Size([1, 62, 1000]), mse:0.6941949129104614, compression rate: 0.032870967741935486, 30.42198233562316x
2026-01-06 20:35:45 | INFO | root | 
2026-01-06 20:35:46 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-06 20:35:47 | INFO | root | End purification for resolution 128*128, loss=0.38346076011657715, iterations=256
2026-01-06 20:35:49 | INFO | root | End purification for resolution 256*256, loss=0.36375802755355835, iterations=256
2026-01-06 20:35:52 | INFO | root | End purification for resolution 512*512, loss=0.48179957270622253, iterations=512
2026-01-06 20:35:59 | INFO | root | End purification for resolution 1024*1024, loss=0.5565311908721924, iterations=1024
