2026-01-07 12:52:03 | INFO | root | Purifying autoattack on seediv with eegnet
2026-01-07 12:52:03 | INFO | root | Namespace(dataset='seediv', model='eegnet', fold=0, attack='autoattack', eps=0.1, batch_size=32, seed=42, gpu_id=3, config='PTR3d_8_2048_rank55_3d_interpolate.yaml', sample_num=512, visualize=False)
2026-01-07 12:52:03 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-07 12:52:17 | INFO | root | Dataset: seediv
2026-01-07 12:52:17 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-07 12:52:17 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-07 12:52:17 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-07 12:52:17 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-07 12:52:23 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 62, 1000]), clean_data shape: torch.Size([512, 1, 62, 1000])
2026-01-07 12:52:23 | INFO | root | 
2026-01-07 12:52:23 | INFO | root | Model: eegnet, fold: 0
2026-01-07 12:52:24 | INFO | root | Adversarial data accuracy: 0.0, loss: 13.99525898694992
2026-01-07 12:52:25 | INFO | root | Clean data accuracy: 0.619140625, loss: 0.9411252774298191
2026-01-07 12:52:25 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 12:52:26 | INFO | root | End purification for resolution 128*128, loss=0.013853189535439014, iterations=256
2026-01-07 12:52:27 | INFO | root | End purification for resolution 256*256, loss=0.016500061377882957, iterations=256
2026-01-07 12:52:29 | INFO | root | End purification for resolution 512*512, loss=0.03846766799688339, iterations=512
2026-01-07 12:52:34 | INFO | root | End purification for resolution 1024*1024, loss=0.04870527982711792, iterations=1024
2026-01-07 12:52:34 | INFO | root | Training time: 8.603846549987793, loss: 0.04870527982711792, params_num: 51838
2026-01-07 12:52:34 | INFO | root | Purified data 0, shape: torch.Size([1, 62, 1000]), mse:0.05863796919584274, compression rate: 0.8360967741935484, 1.196033797600216x
2026-01-07 12:52:34 | INFO | root | 
