2026-01-07 05:47:20 | INFO | root | Training time: 7.731175184249878, loss: 0.10156022012233734, params_num: 22318
2026-01-07 05:47:21 | INFO | root | Purified data 5, shape: torch.Size([1, 62, 1000]), mse:0.12483924627304077, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:47:21 | INFO | root | 
2026-01-07 05:47:21 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:47:22 | INFO | root | End purification for resolution 128*128, loss=0.03572338446974754, iterations=256
2026-01-07 05:47:23 | INFO | root | End purification for resolution 256*256, loss=0.05776597931981087, iterations=256
2026-01-07 05:47:25 | INFO | root | End purification for resolution 512*512, loss=0.13796427845954895, iterations=512
2026-01-07 05:47:29 | INFO | root | End purification for resolution 1024*1024, loss=0.17899443209171295, iterations=1024
2026-01-07 05:47:29 | INFO | root | Training time: 7.780832290649414, loss: 0.17899443209171295, params_num: 22318
2026-01-07 05:47:29 | INFO | root | Purified data 6, shape: torch.Size([1, 62, 1000]), mse:0.22202268242835999, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:47:29 | INFO | root | 
2026-01-07 05:47:29 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:47:30 | INFO | root | End purification for resolution 128*128, loss=0.05208821967244148, iterations=256
2026-01-07 05:47:31 | INFO | root | End purification for resolution 256*256, loss=0.0825263038277626, iterations=256
2026-01-07 05:47:32 | INFO | root | End purification for resolution 512*512, loss=0.16704437136650085, iterations=512
2026-01-07 05:47:36 | INFO | root | End purification for resolution 1024*1024, loss=0.20871137082576752, iterations=1024
2026-01-07 05:47:36 | INFO | root | Training time: 7.412138938903809, loss: 0.20871137082576752, params_num: 22318
2026-01-07 05:47:36 | INFO | root | Purified data 7, shape: torch.Size([1, 62, 1000]), mse:0.2603355050086975, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:47:36 | INFO | root | 
2026-01-07 05:47:36 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:47:37 | INFO | root | End purification for resolution 128*128, loss=0.048147112131118774, iterations=256
2026-01-07 05:47:38 | INFO | root | End purification for resolution 256*256, loss=0.059305544942617416, iterations=256
2026-01-07 05:47:40 | INFO | root | End purification for resolution 512*512, loss=0.10997980833053589, iterations=512
2026-01-07 05:47:44 | INFO | root | End purification for resolution 1024*1024, loss=0.13323204219341278, iterations=1024
2026-01-07 05:47:44 | INFO | root | Training time: 7.688586711883545, loss: 0.13323204219341278, params_num: 22318
2026-01-07 05:47:44 | INFO | root | Purified data 8, shape: torch.Size([1, 62, 1000]), mse:0.16252675652503967, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:47:44 | INFO | root | 
2026-01-07 05:47:44 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:47:45 | INFO | root | End purification for resolution 128*128, loss=0.02922222949564457, iterations=256
2026-01-07 05:47:46 | INFO | root | End purification for resolution 256*256, loss=0.039417728781700134, iterations=256
2026-01-07 05:47:48 | INFO | root | End purification for resolution 512*512, loss=0.08874966204166412, iterations=512
2026-01-07 05:47:52 | INFO | root | End purification for resolution 1024*1024, loss=0.1140119656920433, iterations=1024
2026-01-07 05:47:52 | INFO | root | Training time: 7.486041069030762, loss: 0.1140119656920433, params_num: 22318
2026-01-07 05:47:53 | INFO | root | Purified data 9, shape: torch.Size([1, 62, 1000]), mse:0.13862472772598267, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:47:53 | INFO | root | 
2026-01-07 05:47:53 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:47:54 | INFO | root | End purification for resolution 128*128, loss=0.05090728774666786, iterations=256
2026-01-07 05:47:55 | INFO | root | End purification for resolution 256*256, loss=0.07508577406406403, iterations=256
2026-01-07 05:47:57 | INFO | root | End purification for resolution 512*512, loss=0.16889242827892303, iterations=512
2026-01-07 05:48:01 | INFO | root | End purification for resolution 1024*1024, loss=0.21047426760196686, iterations=1024
2026-01-07 05:48:01 | INFO | root | Training time: 7.721797227859497, loss: 0.21047426760196686, params_num: 22318
2026-01-07 05:48:01 | INFO | root | Purified data 10, shape: torch.Size([1, 62, 1000]), mse:0.2613392770290375, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:48:01 | INFO | root | 
2026-01-07 05:48:01 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:48:03 | INFO | root | End purification for resolution 128*128, loss=0.0488557331264019, iterations=256
2026-01-07 05:48:04 | INFO | root | End purification for resolution 256*256, loss=0.0686405599117279, iterations=256
2026-01-07 05:48:06 | INFO | root | End purification for resolution 512*512, loss=0.1322198510169983, iterations=512
2026-01-07 05:48:09 | INFO | root | End purification for resolution 1024*1024, loss=0.16168825328350067, iterations=1024
2026-01-07 05:48:09 | INFO | root | Training time: 7.793981552124023, loss: 0.16168825328350067, params_num: 22318
2026-01-07 05:48:09 | INFO | root | Purified data 11, shape: torch.Size([1, 62, 1000]), mse:0.1979808807373047, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:48:09 | INFO | root | 
2026-01-07 05:48:10 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:48:11 | INFO | root | End purification for resolution 128*128, loss=0.05330093950033188, iterations=256
2026-01-07 05:48:12 | INFO | root | End purification for resolution 256*256, loss=0.07621009647846222, iterations=256
2026-01-07 05:48:13 | INFO | root | End purification for resolution 512*512, loss=0.13641607761383057, iterations=512
2026-01-07 05:48:17 | INFO | root | End purification for resolution 1024*1024, loss=0.1648464798927307, iterations=1024
2026-01-07 05:48:17 | INFO | root | Training time: 7.444293022155762, loss: 0.1648464798927307, params_num: 22318
