2026-01-05 18:05:43 | INFO | root | Training time: 9.439149856567383, loss: 0.402619332075119, params_num: 1175
2026-01-05 18:05:43 | INFO | root | Purified data 5, shape: torch.Size([1, 22, 1750]), mse:0.7463008165359497, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:05:43 | INFO | root | 
2026-01-05 18:05:43 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:05:44 | INFO | root | End purification for resolution 256*256, loss=0.3495190441608429, iterations=256
2026-01-05 18:05:45 | INFO | root | End purification for resolution 512*512, loss=0.29889044165611267, iterations=256
2026-01-05 18:05:48 | INFO | root | End purification for resolution 1024*1024, loss=0.3263806998729706, iterations=512
2026-01-05 18:05:54 | INFO | root | End purification for resolution 2048*2048, loss=0.3378583788871765, iterations=1024
2026-01-05 18:05:54 | INFO | root | Training time: 10.325313091278076, loss: 0.3378583788871765, params_num: 1175
2026-01-05 18:05:54 | INFO | root | Purified data 6, shape: torch.Size([1, 22, 1750]), mse:0.6230020523071289, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:05:54 | INFO | root | 
2026-01-05 18:05:54 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:05:55 | INFO | root | End purification for resolution 256*256, loss=0.4430447518825531, iterations=256
2026-01-05 18:05:56 | INFO | root | End purification for resolution 512*512, loss=0.34994953870773315, iterations=256
2026-01-05 18:05:58 | INFO | root | End purification for resolution 1024*1024, loss=0.35767897963523865, iterations=512
2026-01-05 18:06:03 | INFO | root | End purification for resolution 2048*2048, loss=0.36808234453201294, iterations=1024
2026-01-05 18:06:03 | INFO | root | Training time: 9.083251714706421, loss: 0.36808234453201294, params_num: 1175
2026-01-05 18:06:03 | INFO | root | Purified data 7, shape: torch.Size([1, 22, 1750]), mse:0.6810195446014404, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:06:03 | INFO | root | 
2026-01-05 18:06:03 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:06:04 | INFO | root | End purification for resolution 256*256, loss=0.4371177554130554, iterations=256
2026-01-05 18:06:06 | INFO | root | End purification for resolution 512*512, loss=0.39132159948349, iterations=256
2026-01-05 18:06:08 | INFO | root | End purification for resolution 1024*1024, loss=0.39524465799331665, iterations=512
2026-01-05 18:06:14 | INFO | root | End purification for resolution 2048*2048, loss=0.40462976694107056, iterations=1024
2026-01-05 18:06:14 | INFO | root | Training time: 10.9917311668396, loss: 0.40462976694107056, params_num: 1175
2026-01-05 18:06:14 | INFO | root | Purified data 8, shape: torch.Size([1, 22, 1750]), mse:0.7600036859512329, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:06:14 | INFO | root | 
2026-01-05 18:06:14 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:06:16 | INFO | root | End purification for resolution 256*256, loss=0.4152398407459259, iterations=256
2026-01-05 18:06:17 | INFO | root | End purification for resolution 512*512, loss=0.3968401551246643, iterations=256
2026-01-05 18:06:19 | INFO | root | End purification for resolution 1024*1024, loss=0.4156608283519745, iterations=512
2026-01-05 18:06:24 | INFO | root | End purification for resolution 2048*2048, loss=0.42759251594543457, iterations=1024
2026-01-05 18:06:24 | INFO | root | Training time: 9.620511054992676, loss: 0.42759251594543457, params_num: 1175
2026-01-05 18:06:24 | INFO | root | Purified data 9, shape: torch.Size([1, 22, 1750]), mse:0.7851481437683105, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:06:24 | INFO | root | 
2026-01-05 18:06:24 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:06:25 | INFO | root | End purification for resolution 256*256, loss=0.42831557989120483, iterations=256
2026-01-05 18:06:27 | INFO | root | End purification for resolution 512*512, loss=0.33095547556877136, iterations=256
2026-01-05 18:06:29 | INFO | root | End purification for resolution 1024*1024, loss=0.3516518473625183, iterations=512
2026-01-05 18:06:35 | INFO | root | End purification for resolution 2048*2048, loss=0.35518577694892883, iterations=1024
2026-01-05 18:06:35 | INFO | root | Training time: 10.284229755401611, loss: 0.35518577694892883, params_num: 1175
2026-01-05 18:06:35 | INFO | root | Purified data 10, shape: torch.Size([1, 22, 1750]), mse:0.6679326295852661, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:06:35 | INFO | root | 
2026-01-05 18:06:35 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:06:37 | INFO | root | End purification for resolution 256*256, loss=0.3307889997959137, iterations=256
2026-01-05 18:06:39 | INFO | root | End purification for resolution 512*512, loss=0.31754210591316223, iterations=256
2026-01-05 18:06:41 | INFO | root | End purification for resolution 1024*1024, loss=0.3405880630016327, iterations=512
2026-01-05 18:06:47 | INFO | root | End purification for resolution 2048*2048, loss=0.35380515456199646, iterations=1024
2026-01-05 18:06:47 | INFO | root | Training time: 10.748345613479614, loss: 0.35380515456199646, params_num: 1175
2026-01-05 18:06:47 | INFO | root | Purified data 11, shape: torch.Size([1, 22, 1750]), mse:0.6277926564216614, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:06:47 | INFO | root | 
2026-01-05 18:06:47 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:06:48 | INFO | root | End purification for resolution 256*256, loss=0.3858831524848938, iterations=256
2026-01-05 18:06:49 | INFO | root | End purification for resolution 512*512, loss=0.38177192211151123, iterations=256
2026-01-05 18:06:51 | INFO | root | End purification for resolution 1024*1024, loss=0.41895681619644165, iterations=512
2026-01-05 18:06:57 | INFO | root | End purification for resolution 2048*2048, loss=0.4347724914550781, iterations=1024
2026-01-05 18:06:57 | INFO | root | Training time: 10.21364164352417, loss: 0.4347724914550781, params_num: 1175
2026-01-05 18:06:57 | INFO | root | Purified data 12, shape: torch.Size([1, 22, 1750]), mse:0.7875785827636719, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:06:57 | INFO | root | 
2026-01-05 18:06:57 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:06:58 | INFO | root | End purification for resolution 256*256, loss=0.36359044909477234, iterations=256
2026-01-05 18:06:59 | INFO | root | End purification for resolution 512*512, loss=0.3870698809623718, iterations=256
2026-01-05 18:07:02 | INFO | root | End purification for resolution 1024*1024, loss=0.420276015996933, iterations=512
2026-01-05 18:07:07 | INFO | root | End purification for resolution 2048*2048, loss=0.4354156255722046, iterations=1024
2026-01-05 18:07:07 | INFO | root | Training time: 9.310358047485352, loss: 0.4354156255722046, params_num: 1175
2026-01-05 18:07:07 | INFO | root | Purified data 13, shape: torch.Size([1, 22, 1750]), mse:0.8026764392852783, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:07:07 | INFO | root | 
2026-01-05 18:07:07 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:07:08 | INFO | root | End purification for resolution 256*256, loss=0.4055388271808624, iterations=256
2026-01-05 18:07:09 | INFO | root | End purification for resolution 512*512, loss=0.38577398657798767, iterations=256
2026-01-05 18:07:11 | INFO | root | End purification for resolution 1024*1024, loss=0.4086536169052124, iterations=512
2026-01-05 18:07:16 | INFO | root | End purification for resolution 2048*2048, loss=0.4217207729816437, iterations=1024
2026-01-05 18:07:16 | INFO | root | Training time: 9.047035217285156, loss: 0.4217207729816437, params_num: 1175
2026-01-05 18:07:16 | INFO | root | Purified data 14, shape: torch.Size([1, 22, 1750]), mse:0.7887914180755615, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:07:16 | INFO | root | 
2026-01-05 18:07:16 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:07:18 | INFO | root | End purification for resolution 256*256, loss=0.34691160917282104, iterations=256
2026-01-05 18:07:19 | INFO | root | End purification for resolution 512*512, loss=0.36084362864494324, iterations=256
