2026-01-06 01:22:26 | INFO | root | Purifying autoattack on bciciv2a with eegnet
2026-01-06 01:22:26 | INFO | root | Namespace(dataset='bciciv2a', model='eegnet', fold=0, attack='autoattack', eps=0.1, batch_size=32, seed=42, gpu_id=1, config='PTR3d_8_2048_rank25_3d_interpolate.yaml', sample_num=512, visualize=False)
2026-01-06 01:22:26 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/bciciv2a_EA.
2026-01-06 01:22:27 | INFO | root | Dataset: bciciv2a
2026-01-06 01:22:27 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/bciciv2a_split/kfold_split.
2026-01-06 01:22:27 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 01:22:27 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/bciciv2a_split/test_val_split_0.
2026-01-06 01:22:27 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-06 01:22:28 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 22, 1750]), clean_data shape: torch.Size([512, 1, 22, 1750])
2026-01-06 01:22:28 | INFO | root | 
2026-01-06 01:22:28 | INFO | root | Model: eegnet, fold: 0
2026-01-06 01:22:28 | INFO | root | Adversarial data accuracy: 0.0, loss: 8.093131989240646
2026-01-06 01:22:29 | INFO | root | Clean data accuracy: 0.701171875, loss: 0.8010946176946163
2026-01-06 01:22:29 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-06 01:22:30 | INFO | root | End purification for resolution 256*256, loss=0.09655071794986725, iterations=256
2026-01-06 01:22:32 | INFO | root | End purification for resolution 512*512, loss=0.09435831010341644, iterations=256
2026-01-06 01:22:35 | INFO | root | End purification for resolution 1024*1024, loss=0.1055687740445137, iterations=512
2026-01-06 01:22:42 | INFO | root | End purification for resolution 2048*2048, loss=0.10719860345125198, iterations=1024
2026-01-06 01:22:42 | INFO | root | Training time: 13.002045392990112, loss: 0.10719860345125198, params_num: 12495
2026-01-06 01:22:42 | INFO | root | Purified data 0, shape: torch.Size([1, 22, 1750]), mse:0.22384676337242126, compression rate: 0.3245454545454545, 3.081232492997199x
2026-01-06 01:22:42 | INFO | root | 
2026-01-06 01:22:42 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-06 01:22:44 | INFO | root | End purification for resolution 256*256, loss=0.09102079272270203, iterations=256
2026-01-06 01:22:45 | INFO | root | End purification for resolution 512*512, loss=0.08537014573812485, iterations=256
2026-01-06 01:22:49 | INFO | root | End purification for resolution 1024*1024, loss=0.09977901726961136, iterations=512
2026-01-06 01:22:55 | INFO | root | End purification for resolution 2048*2048, loss=0.09683427214622498, iterations=1024
2026-01-06 01:22:55 | INFO | root | Training time: 13.375149726867676, loss: 0.09683427214622498, params_num: 12495
2026-01-06 01:22:55 | INFO | root | Purified data 1, shape: torch.Size([1, 22, 1750]), mse:0.1966361105442047, compression rate: 0.3245454545454545, 3.081232492997199x
2026-01-06 01:22:55 | INFO | root | 
2026-01-06 01:22:55 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-06 01:22:57 | INFO | root | End purification for resolution 256*256, loss=0.12515519559383392, iterations=256
2026-01-06 01:22:59 | INFO | root | End purification for resolution 512*512, loss=0.10377229005098343, iterations=256
2026-01-06 01:23:02 | INFO | root | End purification for resolution 1024*1024, loss=0.11916472762823105, iterations=512
2026-01-06 01:23:08 | INFO | root | End purification for resolution 2048*2048, loss=0.1221182569861412, iterations=1024
2026-01-06 01:23:08 | INFO | root | Training time: 12.156888008117676, loss: 0.1221182569861412, params_num: 12495
2026-01-06 01:23:08 | INFO | root | Purified data 2, shape: torch.Size([1, 22, 1750]), mse:0.25461769104003906, compression rate: 0.3245454545454545, 3.081232492997199x
2026-01-06 01:23:08 | INFO | root | 
2026-01-06 01:23:08 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-06 01:23:09 | INFO | root | End purification for resolution 256*256, loss=0.08275274187326431, iterations=256
