section,dataset,model,condition,endpoint,scope,seed_count,status,mean_pp,sample_std_pp,positive_seeds
main_linf3,bciciv2a,conformer,RPCF+TNP-r30,MeanLinf3,subset_n512,0,pending,,,
main_linf3,bciciv2a,tcnet,madry,MeanLinf3,full_test,5,complete,15.849297573435503,11.220614673253012,
main_linf3,bciciv2a,tcnet,trades,MeanLinf3,full_test,5,complete,5.376756066411239,0.3788607145387312,
main_linf3,bciciv2a,tcnet,fbf,MeanLinf3,full_test,5,complete,13.818646232439336,1.0092632490488047,
main_linf3,bciciv2a,tcnet,ea_forward,MeanLinf3,full_test,5,complete,3.4099616858237547,2.375873708938764,
main_linf3,bciciv2a,tcnet,RPCF+TNP-r25,MeanLinf3,subset_n512,0,pending,,,
main_linf3,bciciv2a,tcnet,RPCF+TNP-r30,MeanLinf3,subset_n512,0,pending,,,
ablation,thubenchmark,eegnet,A-r25,PGD,subset_n512,5,complete,77.8125,1.4654946470550054,
ablation,thubenchmark,eegnet,B-r25,PGD,subset_n512,5,complete,77.890625,1.8600888204389259,
ablation,thubenchmark,eegnet,C-r25,PGD,subset_n512,5,complete,79.140625,0.940749576468148,
ablation,thubenchmark,eegnet,D-r25,PGD,subset_n512,5,complete,81.953125,1.1438711300270563,
ablation_delta,thubenchmark,eegnet,B−A-r25,PGD,subset_n512,5,complete,0.078125,0.684987418623054,3
ablation_delta,thubenchmark,eegnet,D−C-r25,PGD,subset_n512,5,complete,2.8125,1.2551772666452834,5
ablation_delta,thubenchmark,eegnet,D−B-r25,PGD,subset_n512,5,complete,4.0625,1.4043498447068399,5
ablation,thubenchmark,deepconvnet,A-r25,PGD,subset_n512,5,complete,75.8203125,1.7868692205441687,
ablation,thubenchmark,deepconvnet,B-r25,PGD,subset_n512,5,complete,76.796875,1.33471480963046,
ablation,thubenchmark,deepconvnet,C-r25,PGD,subset_n512,5,complete,78.59375,1.0572162970878405,
ablation,thubenchmark,deepconvnet,D-r25,PGD,subset_n512,5,complete,78.7109375,1.5254393898255185,
ablation_delta,thubenchmark,deepconvnet,B−A-r25,PGD,subset_n512,5,complete,0.9765625,1.3460985109463106,4
ablation_delta,thubenchmark,deepconvnet,D−C-r25,PGD,subset_n512,5,complete,0.1171875,0.6268283803078598,3
ablation_delta,thubenchmark,deepconvnet,D−B-r25,PGD,subset_n512,5,complete,1.9140625,0.34938562148434216,5
ablation,thubenchmark,tsception,A-r25,PGD,subset_n512,5,complete,39.9609375,2.1510992034778695,
ablation,thubenchmark,tsception,B-r25,PGD,subset_n512,5,complete,36.171875,2.3696485762661097,
ablation,thubenchmark,tsception,C-r25,PGD,subset_n512,5,complete,48.7109375,2.2380119547861277,
ablation,thubenchmark,tsception,D-r25,PGD,subset_n512,5,complete,46.3671875,1.1767476821400054,
ablation_delta,thubenchmark,tsception,B−A-r25,PGD,subset_n512,5,complete,-3.7890625,1.0111077426206863,0
ablation_delta,thubenchmark,tsception,D−C-r25,PGD,subset_n512,5,complete,-2.34375,2.0250431009109104,0
ablation_delta,thubenchmark,tsception,D−B-r25,PGD,subset_n512,5,complete,10.1953125,2.017493985721364,5
ablation,thubenchmark,atcnet,A-r25,PGD,subset_n512,5,complete,85.7421875,1.680141653719263,
ablation,thubenchmark,atcnet,B-r25,PGD,subset_n512,5,complete,85.9765625,1.829067932569243,
ablation,thubenchmark,atcnet,C-r25,PGD,subset_n512,5,complete,82.96875,1.6070314399003292,
ablation,thubenchmark,atcnet,D-r25,PGD,subset_n512,5,complete,84.3359375,1.2911323344561259,
ablation_delta,thubenchmark,atcnet,B−A-r25,PGD,subset_n512,5,complete,0.234375,1.1751256997258845,2
ablation_delta,thubenchmark,atcnet,D−C-r25,PGD,subset_n512,5,complete,1.3671875,1.3246738248291539,5
ablation_delta,thubenchmark,atcnet,D−B-r25,PGD,subset_n512,5,complete,-1.640625,0.8580422904878436,0
ablation,thubenchmark,conformer,A-r25,PGD,subset_n512,5,complete,75.3125,1.412475369669105,
ablation,thubenchmark,conformer,B-r25,PGD,subset_n512,5,complete,74.21875,2.527769356551716,
ablation,thubenchmark,conformer,C-r25,PGD,subset_n512,5,complete,79.0625,1.9255871162290996,
ablation,thubenchmark,conformer,D-r25,PGD,subset_n512,5,complete,78.4375,1.8662311227486335,
ablation_delta,thubenchmark,conformer,B−A-r25,PGD,subset_n512,5,complete,-1.09375,3.1146067402618223,2
ablation_delta,thubenchmark,conformer,D−C-r25,PGD,subset_n512,5,complete,-0.625,2.947213204677959,1
ablation_delta,thubenchmark,conformer,D−B-r25,PGD,subset_n512,5,complete,4.21875,1.4589726091393045,5
ablation,thubenchmark,tcnet,A-r25,PGD,subset_n512,5,complete,49.84375,4.1117804271689895,
ablation,thubenchmark,tcnet,B-r25,PGD,subset_n512,5,complete,49.53125,2.9478603038634223,
ablation,thubenchmark,tcnet,C-r25,PGD,subset_n512,5,complete,56.25,4.113171814189978,
ablation,thubenchmark,tcnet,D-r25,PGD,subset_n512,5,complete,58.7890625,2.847144479904932,
ablation_delta,thubenchmark,tcnet,B−A-r25,PGD,subset_n512,5,complete,-0.3125,1.8508371469503333,2
ablation_delta,thubenchmark,tcnet,D−C-r25,PGD,subset_n512,5,complete,2.5390625,3.0757843257858637,4
ablation_delta,thubenchmark,tcnet,D−B-r25,PGD,subset_n512,5,complete,9.2578125,2.7119617121421533,5
ablation,seediv,eegnet,A-r25,PGD,subset_n512,5,complete,25.46875,4.2959871241769045,
ablation,seediv,eegnet,B-r25,PGD,subset_n512,5,complete,28.046875,2.3543056570787755,
ablation,seediv,eegnet,C-r25,PGD,subset_n512,5,complete,26.40625,4.473892773942439,
ablation,seediv,eegnet,D-r25,PGD,subset_n512,5,complete,30.2734375,2.392079826936697,
ablation_delta,seediv,eegnet,B−A-r25,PGD,subset_n512,5,complete,2.578125,3.09248218182771,3
ablation_delta,seediv,eegnet,D−C-r25,PGD,subset_n512,5,complete,3.8671875,3.9821723384608965,4
ablation_delta,seediv,eegnet,D−B-r25,PGD,subset_n512,5,complete,2.2265625,0.8580422904878436,5
ablation,seediv,deepconvnet,A-r25,PGD,subset_n512,5,complete,23.0078125,2.224334137110615,
ablation,seediv,deepconvnet,B-r25,PGD,subset_n512,5,complete,20.078125,1.3058214570661546,
ablation,seediv,deepconvnet,C-r25,PGD,subset_n512,5,complete,25.46875,2.6079887316875765,
ablation,seediv,deepconvnet,D-r25,PGD,subset_n512,5,complete,24.765625,1.7868692205441687,
ablation_delta,seediv,deepconvnet,B−A-r25,PGD,subset_n512,5,complete,-2.9296875,1.6970846872053484,0
ablation_delta,seediv,deepconvnet,D−C-r25,PGD,subset_n512,5,complete,-0.703125,1.2551772666452834,2
ablation_delta,seediv,deepconvnet,D−B-r25,PGD,subset_n512,5,complete,4.6875,0.9468124721516268,5
ablation,seediv,tsception,A-r25,PGD,subset_n512,5,complete,32.8515625,3.0175623229764246,
ablation,seediv,tsception,B-r25,PGD,subset_n512,5,complete,31.953125,2.5933205122577645,
ablation,seediv,tsception,C-r25,PGD,subset_n512,5,complete,35.1171875,2.258373362431603,
ablation,seediv,tsception,D-r25,PGD,subset_n512,5,complete,35.625,3.0900141190388393,
ablation_delta,seediv,tsception,B−A-r25,PGD,subset_n512,5,complete,-0.8984375,1.2475562048961963,1
ablation_delta,seediv,tsception,D−C-r25,PGD,subset_n512,5,complete,0.5078125,1.951170897459715,3
ablation_delta,seediv,tsception,D−B-r25,PGD,subset_n512,5,complete,3.671875,1.0463355653108495,5
ablation,seediv,atcnet,A-r25,PGD,subset_n512,2,pending,,,
ablation,seediv,atcnet,B-r25,PGD,subset_n512,2,pending,,,
ablation,seediv,atcnet,C-r25,PGD,subset_n512,2,pending,,,
ablation,seediv,atcnet,D-r25,PGD,subset_n512,2,pending,,,
ablation_delta,seediv,atcnet,B−A-r25,PGD,subset_n512,2,pending,,,
ablation_delta,seediv,atcnet,D−C-r25,PGD,subset_n512,2,pending,,,
ablation_delta,seediv,atcnet,D−B-r25,PGD,subset_n512,2,pending,,,
ablation,seediv,conformer,A-r25,PGD,subset_n512,0,pending,,,
ablation,seediv,conformer,B-r25,PGD,subset_n512,0,pending,,,
ablation,seediv,conformer,C-r25,PGD,subset_n512,0,pending,,,
ablation,seediv,conformer,D-r25,PGD,subset_n512,0,pending,,,
ablation_delta,seediv,conformer,B−A-r25,PGD,subset_n512,0,pending,,,
ablation_delta,seediv,conformer,D−C-r25,PGD,subset_n512,0,pending,,,
ablation_delta,seediv,conformer,D−B-r25,PGD,subset_n512,0,pending,,,
ablation,seediv,tcnet,A-r25,PGD,subset_n512,0,pending,,,
ablation,seediv,tcnet,B-r25,PGD,subset_n512,0,pending,,,
ablation,seediv,tcnet,C-r25,PGD,subset_n512,0,pending,,,
ablation,seediv,tcnet,D-r25,PGD,subset_n512,0,pending,,,
ablation_delta,seediv,tcnet,B−A-r25,PGD,subset_n512,0,pending,,,
ablation_delta,seediv,tcnet,D−C-r25,PGD,subset_n512,0,pending,,,
ablation_delta,seediv,tcnet,D−B-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,eegnet,A-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,eegnet,B-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,eegnet,C-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,eegnet,D-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,eegnet,B−A-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,eegnet,D−C-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,eegnet,D−B-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,deepconvnet,A-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,deepconvnet,B-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,deepconvnet,C-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,deepconvnet,D-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,deepconvnet,B−A-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,deepconvnet,D−C-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,deepconvnet,D−B-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,tsception,A-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,tsception,B-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,tsception,C-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,tsception,D-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,tsception,B−A-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,tsception,D−C-r25,PGD,subset_n512,0,pending,,,
ablation_delta,bciciv2a,tsception,D−B-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,atcnet,A-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,atcnet,B-r25,PGD,subset_n512,0,pending,,,
ablation,bciciv2a,atcnet,C-r25,PGD,subset_n512,0,pending,,,
