dataset,model,method,attack,scope,rank,metric,seed_count,seeds,status,mean,sample_std
thubenchmark,deepconvnet,madry,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7843998573212057,0.01686005170486075
thubenchmark,deepconvnet,madry,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9346816479400749,0.006289696569446985
thubenchmark,deepconvnet,madry,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7620831103977171,0.016131379333502158
thubenchmark,deepconvnet,madry,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9346816479400749,0.006289696569446985
thubenchmark,deepconvnet,madry,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,deepconvnet,trades,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9429391831639022,0.009493341243257675
thubenchmark,deepconvnet,trades,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.6634893882646692,0.03433184640985035
thubenchmark,deepconvnet,trades,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9429391831639022,0.009493341243257675
thubenchmark,deepconvnet,trades,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7004110932762618,0.026207564888902336
thubenchmark,deepconvnet,trades,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9429391831639022,0.009493341243257675
thubenchmark,deepconvnet,trades,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.6651560549313358,0.03263109694107358
thubenchmark,deepconvnet,trades,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9429391831639022,0.009493341243257675
thubenchmark,deepconvnet,trades,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,deepconvnet,fbf,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9392634207240949,0.006651860103961375
thubenchmark,deepconvnet,fbf,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.5503219190297842,0.03238368476183027
thubenchmark,deepconvnet,fbf,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9392634207240949,0.006651860103961375
thubenchmark,deepconvnet,fbf,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.6181371499910826,0.023143307078709117
thubenchmark,deepconvnet,fbf,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9392634207240949,0.006651860103961375
thubenchmark,deepconvnet,fbf,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.5541778134474763,0.033449246778348984
thubenchmark,deepconvnet,fbf,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9392634207240949,0.006651860103961375
thubenchmark,deepconvnet,fbf,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,deepconvnet,ea_forward,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9604592473693597,0.0077461580183800765
thubenchmark,deepconvnet,ea_forward,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.1707865168539326,0.011317749396869572
thubenchmark,deepconvnet,ea_forward,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9631246655965757,0.009615969878574606
thubenchmark,deepconvnet,ea_forward,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.38801854824326737,0.01925438979729574
thubenchmark,deepconvnet,ea_forward,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9631246655965757,0.009615969878574606
thubenchmark,deepconvnet,ea_forward,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.07889513108614232,0.0043364313805330235
thubenchmark,deepconvnet,ea_forward,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9631246655965757,0.009615969878574606
thubenchmark,deepconvnet,ea_forward,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9402273943285179,0.00565458372484926
thubenchmark,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7694230426252898,0.01527662219693452
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9402273943285179,0.00565458372484926
thubenchmark,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7944515783841627,0.01662205400866894
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9402273943285179,0.00565458372484926
thubenchmark,deepconvnet,rpcf_at,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7711128945960406,0.014848568233754257
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9402273943285179,0.00565458372484926
thubenchmark,deepconvnet,rpcf_at,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,tsception,madry,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7962635990725878,0.023100065951361406
thubenchmark,tsception,madry,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.36597467451400034,0.03307994086908251
thubenchmark,tsception,madry,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7962635990725878,0.023100065951361406
