dataset,model,seed,method,attack,scope,rank,metric,value,artifact
thubenchmark,eegnet,42,ea_forward,cw,full_test,raw,clean,0.9712858926342073,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_cw.pth
thubenchmark,eegnet,42,ea_forward,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_ea_forward_cw.pth
thubenchmark,eegnet,42,rpcf_at,autoattack,full_test,raw,clean,0.9388264669163545,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_autoattack.pth
thubenchmark,eegnet,42,rpcf_at,autoattack,full_test,raw,robust,0.7752808988764045,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_autoattack.pth
thubenchmark,eegnet,42,rpcf_at,fgsm,full_test,raw,clean,0.9388264669163545,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_fgsm.pth
thubenchmark,eegnet,42,rpcf_at,fgsm,full_test,raw,robust,0.7890137328339576,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_fgsm.pth
thubenchmark,eegnet,42,rpcf_at,pgd,full_test,raw,clean,0.9388264669163545,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_pgd.pth
thubenchmark,eegnet,42,rpcf_at,pgd,full_test,raw,robust,0.7802746566791511,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_pgd.pth
thubenchmark,eegnet,42,rpcf_at,cw,full_test,raw,clean,0.9388264669163545,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_cw.pth
thubenchmark,eegnet,42,rpcf_at,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed42_rpcf_at_cw.pth
thubenchmark,eegnet,43,madry,autoattack,full_test,raw,clean,0.9178571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_autoattack.pth
thubenchmark,eegnet,43,madry,autoattack,full_test,raw,robust,0.7869047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_autoattack.pth
thubenchmark,eegnet,43,madry,fgsm,full_test,raw,clean,0.9178571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_fgsm.pth
thubenchmark,eegnet,43,madry,fgsm,full_test,raw,robust,0.8071428571428572,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_fgsm.pth
thubenchmark,eegnet,43,madry,pgd,full_test,raw,clean,0.9178571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_pgd.pth
thubenchmark,eegnet,43,madry,pgd,full_test,raw,robust,0.8,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_pgd.pth
thubenchmark,eegnet,43,madry,cw,full_test,raw,clean,0.9178571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_cw.pth
thubenchmark,eegnet,43,madry,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_madry_cw.pth
thubenchmark,eegnet,43,trades,autoattack,full_test,raw,clean,0.9392857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_autoattack.pth
thubenchmark,eegnet,43,trades,autoattack,full_test,raw,robust,0.6630952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_autoattack.pth
thubenchmark,eegnet,43,trades,fgsm,full_test,raw,clean,0.9392857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_fgsm.pth
thubenchmark,eegnet,43,trades,fgsm,full_test,raw,robust,0.6880952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_fgsm.pth
thubenchmark,eegnet,43,trades,pgd,full_test,raw,clean,0.9392857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_pgd.pth
thubenchmark,eegnet,43,trades,pgd,full_test,raw,robust,0.6666666666666666,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_pgd.pth
thubenchmark,eegnet,43,trades,cw,full_test,raw,clean,0.9392857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_cw.pth
thubenchmark,eegnet,43,trades,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_trades_cw.pth
thubenchmark,eegnet,43,fbf,autoattack,full_test,raw,clean,0.9416666666666667,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_autoattack.pth
thubenchmark,eegnet,43,fbf,autoattack,full_test,raw,robust,0.5678571428571428,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_autoattack.pth
thubenchmark,eegnet,43,fbf,fgsm,full_test,raw,clean,0.9416666666666667,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_fgsm.pth
thubenchmark,eegnet,43,fbf,fgsm,full_test,raw,robust,0.5976190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_fgsm.pth
thubenchmark,eegnet,43,fbf,pgd,full_test,raw,clean,0.9416666666666667,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_pgd.pth
thubenchmark,eegnet,43,fbf,pgd,full_test,raw,robust,0.569047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_pgd.pth
thubenchmark,eegnet,43,fbf,cw,full_test,raw,clean,0.9416666666666667,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_cw.pth
thubenchmark,eegnet,43,fbf,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_fbf_cw.pth
thubenchmark,eegnet,43,ea_forward,autoattack,full_test,raw,clean,0.9666666666666667,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_ea_forward_autoattack.pth
thubenchmark,eegnet,43,ea_forward,autoattack,full_test,raw,robust,0.2785714285714286,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_ea_forward_autoattack.pth
thubenchmark,eegnet,43,ea_forward,fgsm,full_test,raw,clean,0.9630952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_ea_forward_fgsm.pth
thubenchmark,eegnet,43,ea_forward,fgsm,full_test,raw,robust,0.5321428571428571,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_ea_forward_fgsm.pth
thubenchmark,eegnet,43,ea_forward,pgd,full_test,raw,clean,0.9630952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_ea_forward_pgd.pth
thubenchmark,eegnet,43,ea_forward,pgd,full_test,raw,robust,0.31547619047619047,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_ea_forward_pgd.pth
thubenchmark,eegnet,43,ea_forward,cw,full_test,raw,clean,0.9630952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_ea_forward_cw.pth
thubenchmark,eegnet,43,ea_forward,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_ea_forward_cw.pth
thubenchmark,eegnet,43,rpcf_at,autoattack,full_test,raw,clean,0.9166666666666666,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_rpcf_at_autoattack.pth
thubenchmark,eegnet,43,rpcf_at,autoattack,full_test,raw,robust,0.7869047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_rpcf_at_autoattack.pth
thubenchmark,eegnet,43,rpcf_at,fgsm,full_test,raw,clean,0.9166666666666666,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_rpcf_at_fgsm.pth
thubenchmark,eegnet,43,rpcf_at,fgsm,full_test,raw,robust,0.805952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_rpcf_at_fgsm.pth
thubenchmark,eegnet,43,rpcf_at,pgd,full_test,raw,clean,0.9166666666666666,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_rpcf_at_pgd.pth
thubenchmark,eegnet,43,rpcf_at,pgd,full_test,raw,robust,0.7988095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_rpcf_at_pgd.pth
thubenchmark,eegnet,43,rpcf_at,cw,full_test,raw,clean,0.9166666666666666,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_rpcf_at_cw.pth
thubenchmark,eegnet,43,rpcf_at,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed43_rpcf_at_cw.pth
thubenchmark,eegnet,44,madry,autoattack,full_test,raw,clean,0.9238095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_madry_autoattack.pth
thubenchmark,eegnet,44,madry,autoattack,full_test,raw,robust,0.7726190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_madry_autoattack.pth
thubenchmark,eegnet,44,madry,fgsm,full_test,raw,clean,0.9238095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_madry_fgsm.pth
thubenchmark,eegnet,44,madry,fgsm,full_test,raw,robust,0.794047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_madry_fgsm.pth
thubenchmark,eegnet,44,madry,pgd,full_test,raw,clean,0.9238095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_madry_pgd.pth
thubenchmark,eegnet,44,madry,pgd,full_test,raw,robust,0.7833333333333333,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_madry_pgd.pth
thubenchmark,eegnet,44,madry,cw,full_test,raw,clean,0.9238095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_madry_cw.pth
thubenchmark,eegnet,44,madry,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_madry_cw.pth
thubenchmark,eegnet,44,trades,autoattack,full_test,raw,clean,0.9321428571428572,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_trades_autoattack.pth
thubenchmark,eegnet,44,trades,autoattack,full_test,raw,robust,0.6619047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_trades_autoattack.pth
thubenchmark,eegnet,44,trades,fgsm,full_test,raw,clean,0.9321428571428572,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_trades_fgsm.pth
thubenchmark,eegnet,44,trades,fgsm,full_test,raw,robust,0.680952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_trades_fgsm.pth
thubenchmark,eegnet,44,trades,pgd,full_test,raw,clean,0.9321428571428572,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_trades_pgd.pth
thubenchmark,eegnet,44,trades,pgd,full_test,raw,robust,0.6630952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_trades_pgd.pth
