2025-11-27 16:46:15 | INFO | root | Epoch: 21, Train Loss: 0.0589, Val Acc: 0.9393, Val Loss: 0.2619, Test Acc: 0.9167, Test Loss: 0.2777, Learning Rate: 0.010000
2025-11-27 16:46:26 | INFO | root | Epoch: 22, Train Loss: 0.0571, Val Acc: 0.9310, Val Loss: 0.2600, Test Acc: 0.9286, Test Loss: 0.2679, Learning Rate: 0.010000
2025-11-27 16:46:37 | INFO | root | Epoch: 23, Train Loss: 0.0599, Val Acc: 0.9357, Val Loss: 0.2735, Test Acc: 0.9262, Test Loss: 0.2835, Learning Rate: 0.010000
2025-11-27 16:46:47 | INFO | root | Epoch: 24, Train Loss: 0.0534, Val Acc: 0.9381, Val Loss: 0.2329, Test Acc: 0.9262, Test Loss: 0.2651, Learning Rate: 0.010000
2025-11-27 16:46:59 | INFO | root | Epoch: 25, Train Loss: 0.0547, Val Acc: 0.9345, Val Loss: 0.2389, Test Acc: 0.9321, Test Loss: 0.2772, Learning Rate: 0.010000
2025-11-27 16:47:10 | INFO | root | Epoch: 26, Train Loss: 0.0474, Val Acc: 0.9286, Val Loss: 0.2676, Test Acc: 0.9286, Test Loss: 0.2645, Learning Rate: 0.010000
2025-11-27 16:47:21 | INFO | root | Epoch: 27, Train Loss: 0.0532, Val Acc: 0.9262, Val Loss: 0.2815, Test Acc: 0.9262, Test Loss: 0.2893, Learning Rate: 0.010000
2025-11-27 16:47:32 | INFO | root | Epoch: 28, Train Loss: 0.0466, Val Acc: 0.9298, Val Loss: 0.2748, Test Acc: 0.9190, Test Loss: 0.2983, Learning Rate: 0.010000
2025-11-27 16:47:43 | INFO | root | Epoch: 29, Train Loss: 0.0475, Val Acc: 0.9321, Val Loss: 0.2478, Test Acc: 0.9226, Test Loss: 0.2652, Learning Rate: 0.010000
2025-11-27 16:47:54 | INFO | root | Epoch: 30, Train Loss: 0.0524, Val Acc: 0.9405, Val Loss: 0.2304, Test Acc: 0.9298, Test Loss: 0.2707, Learning Rate: 0.010000
2025-11-27 16:48:05 | INFO | root | Epoch: 31, Train Loss: 0.0504, Val Acc: 0.9274, Val Loss: 0.2714, Test Acc: 0.9250, Test Loss: 0.2497, Learning Rate: 0.010000
2025-11-27 16:48:16 | INFO | root | Epoch: 32, Train Loss: 0.0471, Val Acc: 0.9345, Val Loss: 0.2476, Test Acc: 0.9321, Test Loss: 0.2534, Learning Rate: 0.010000
2025-11-27 16:48:27 | INFO | root | Epoch: 33, Train Loss: 0.0458, Val Acc: 0.9250, Val Loss: 0.2795, Test Acc: 0.9286, Test Loss: 0.2860, Learning Rate: 0.010000
2025-11-27 16:48:38 | INFO | root | Epoch: 34, Train Loss: 0.0431, Val Acc: 0.9321, Val Loss: 0.2699, Test Acc: 0.9357, Test Loss: 0.2407, Learning Rate: 0.010000
2025-11-27 16:48:49 | INFO | root | Epoch: 35, Train Loss: 0.0484, Val Acc: 0.9357, Val Loss: 0.3039, Test Acc: 0.9298, Test Loss: 0.2530, Learning Rate: 0.010000
2025-11-27 16:49:00 | INFO | root | Epoch: 36, Train Loss: 0.0439, Val Acc: 0.9357, Val Loss: 0.2477, Test Acc: 0.9226, Test Loss: 0.2829, Learning Rate: 0.010000
2025-11-27 16:49:11 | INFO | root | Epoch: 37, Train Loss: 0.0388, Val Acc: 0.9393, Val Loss: 0.2583, Test Acc: 0.9393, Test Loss: 0.2114, Learning Rate: 0.010000
