2025-11-28 00:21:10 | INFO | root | Epoch: 26, Train Loss: 3.7468, Val Acc: 0.0179, Val Loss: 3.7338, Test Acc: 0.0250, Test Loss: 3.7256, Learning Rate: 0.005000
2025-11-28 00:21:53 | INFO | root | Epoch: 27, Train Loss: 3.7387, Val Acc: 0.0226, Val Loss: 3.7176, Test Acc: 0.0155, Test Loss: 3.7117, Learning Rate: 0.005000
2025-11-28 00:22:41 | INFO | root | Epoch: 28, Train Loss: 3.7283, Val Acc: 0.0226, Val Loss: 3.7027, Test Acc: 0.0155, Test Loss: 3.6996, Learning Rate: 0.005000
2025-11-28 00:23:21 | INFO | root | Epoch: 29, Train Loss: 3.7266, Val Acc: 0.0167, Val Loss: 3.6980, Test Acc: 0.0238, Test Loss: 3.7056, Learning Rate: 0.005000
2025-11-28 00:24:03 | INFO | root | Epoch: 30, Train Loss: 3.7207, Val Acc: 0.0167, Val Loss: 3.7056, Test Acc: 0.0238, Test Loss: 3.7096, Learning Rate: 0.005000
2025-11-28 00:24:46 | INFO | root | Epoch: 31, Train Loss: 3.7231, Val Acc: 0.0179, Val Loss: 3.7051, Test Acc: 0.0381, Test Loss: 3.7027, Learning Rate: 0.005000
2025-11-28 00:25:34 | INFO | root | Epoch: 32, Train Loss: 3.7212, Val Acc: 0.0262, Val Loss: 3.7081, Test Acc: 0.0250, Test Loss: 3.7070, Learning Rate: 0.005000
2025-11-28 00:26:16 | INFO | root | Epoch: 33, Train Loss: 3.7215, Val Acc: 0.0250, Val Loss: 3.7089, Test Acc: 0.0250, Test Loss: 3.7041, Learning Rate: 0.005000
2025-11-28 00:26:56 | INFO | root | Epoch: 34, Train Loss: 3.7244, Val Acc: 0.0226, Val Loss: 3.7041, Test Acc: 0.0179, Test Loss: 3.7264, Learning Rate: 0.005000
2025-11-28 00:28:20 | INFO | root | Epoch: 35, Train Loss: 3.7210, Val Acc: 0.0226, Val Loss: 3.7075, Test Acc: 0.0274, Test Loss: 3.7014, Learning Rate: 0.005000
2025-11-28 00:29:02 | INFO | root | Epoch: 36, Train Loss: 3.7314, Val Acc: 0.0250, Val Loss: 3.7172, Test Acc: 0.0298, Test Loss: 3.7120, Learning Rate: 0.005000
2025-11-28 00:29:45 | INFO | root | Epoch: 37, Train Loss: 3.7221, Val Acc: 0.0155, Val Loss: 3.7045, Test Acc: 0.0238, Test Loss: 3.7129, Learning Rate: 0.005000
2025-11-28 00:30:28 | INFO | root | Epoch: 38, Train Loss: 3.7187, Val Acc: 0.0155, Val Loss: 3.7103, Test Acc: 0.0238, Test Loss: 3.7034, Learning Rate: 0.005000
2025-11-28 00:31:07 | INFO | root | Epoch: 39, Train Loss: 3.7221, Val Acc: 0.0250, Val Loss: 3.7108, Test Acc: 0.0298, Test Loss: 3.7121, Learning Rate: 0.005000
2025-11-28 00:31:54 | INFO | root | Epoch: 40, Train Loss: 3.7205, Val Acc: 0.0262, Val Loss: 3.7017, Test Acc: 0.0381, Test Loss: 3.7002, Learning Rate: 0.002500
2025-11-28 00:32:40 | INFO | root | Epoch: 41, Train Loss: 3.7111, Val Acc: 0.0226, Val Loss: 3.6921, Test Acc: 0.0155, Test Loss: 3.7081, Learning Rate: 0.002500
2025-11-28 00:33:22 | INFO | root | Epoch: 42, Train Loss: 3.7097, Val Acc: 0.0274, Val Loss: 3.6911, Test Acc: 0.0250, Test Loss: 3.6956, Learning Rate: 0.002500
2025-11-28 00:34:08 | INFO | root | Epoch: 43, Train Loss: 3.7106, Val Acc: 0.0202, Val Loss: 3.7013, Test Acc: 0.0333, Test Loss: 3.6984, Learning Rate: 0.002500
2025-11-28 00:34:51 | INFO | root | Epoch: 44, Train Loss: 3.7067, Val Acc: 0.0226, Val Loss: 3.6978, Test Acc: 0.0226, Test Loss: 3.7007, Learning Rate: 0.002500
2025-11-28 00:35:20 | INFO | root | Epoch: 45, Train Loss: 3.7093, Val Acc: 0.0179, Val Loss: 3.7001, Test Acc: 0.0381, Test Loss: 3.6974, Learning Rate: 0.002500
2025-11-28 00:35:54 | INFO | root | Epoch: 46, Train Loss: 3.7094, Val Acc: 0.0167, Val Loss: 3.7034, Test Acc: 0.0238, Test Loss: 3.7054, Learning Rate: 0.002500
2025-11-28 00:36:29 | INFO | root | Epoch: 47, Train Loss: 3.7060, Val Acc: 0.0167, Val Loss: 3.6992, Test Acc: 0.0238, Test Loss: 3.6982, Learning Rate: 0.002500
2025-11-28 00:37:02 | INFO | root | Epoch: 48, Train Loss: 3.7067, Val Acc: 0.0179, Val Loss: 3.7026, Test Acc: 0.0274, Test Loss: 3.6988, Learning Rate: 0.002500
2025-11-28 00:37:38 | INFO | root | Epoch: 49, Train Loss: 3.7069, Val Acc: 0.0190, Val Loss: 3.7025, Test Acc: 0.0179, Test Loss: 3.6959, Learning Rate: 0.002500
2025-11-28 00:38:11 | INFO | root | Epoch: 50, Train Loss: 3.7067, Val Acc: 0.0226, Val Loss: 3.7011, Test Acc: 0.0155, Test Loss: 3.7054, Learning Rate: 0.002500
2025-11-28 00:38:47 | INFO | root | Epoch: 51, Train Loss: 3.7054, Val Acc: 0.0250, Val Loss: 3.7014, Test Acc: 0.0250, Test Loss: 3.7004, Learning Rate: 0.002500
2025-11-28 00:39:21 | INFO | root | Epoch: 52, Train Loss: 3.7058, Val Acc: 0.0214, Val Loss: 3.6975, Test Acc: 0.0167, Test Loss: 3.6983, Learning Rate: 0.002500
2025-11-28 00:39:54 | INFO | root | Epoch: 53, Train Loss: 3.7058, Val Acc: 0.0226, Val Loss: 3.7026, Test Acc: 0.0179, Test Loss: 3.7008, Learning Rate: 0.001250
2025-11-28 00:40:29 | INFO | root | Epoch: 54, Train Loss: 3.7019, Val Acc: 0.0286, Val Loss: 3.6933, Test Acc: 0.0202, Test Loss: 3.6958, Learning Rate: 0.001250
2025-11-28 00:41:06 | INFO | root | Epoch: 55, Train Loss: 3.7001, Val Acc: 0.0250, Val Loss: 3.6943, Test Acc: 0.0238, Test Loss: 3.6950, Learning Rate: 0.001250
2025-11-28 00:41:40 | INFO | root | Epoch: 56, Train Loss: 3.7010, Val Acc: 0.0226, Val Loss: 3.6961, Test Acc: 0.0226, Test Loss: 3.6974, Learning Rate: 0.001250
2025-11-28 00:42:14 | INFO | root | Epoch: 57, Train Loss: 3.6971, Val Acc: 0.0226, Val Loss: 3.6948, Test Acc: 0.0179, Test Loss: 3.6977, Learning Rate: 0.001250
2025-11-28 00:42:53 | INFO | root | Epoch: 58, Train Loss: 3.7013, Val Acc: 0.0226, Val Loss: 3.6970, Test Acc: 0.0179, Test Loss: 3.6956, Learning Rate: 0.001250
2025-11-28 00:43:29 | INFO | root | Epoch: 59, Train Loss: 3.6983, Val Acc: 0.0262, Val Loss: 3.6947, Test Acc: 0.0250, Test Loss: 3.6952, Learning Rate: 0.001250
2025-11-28 00:44:02 | INFO | root | Epoch: 60, Train Loss: 3.6999, Val Acc: 0.0155, Val Loss: 3.6954, Test Acc: 0.0238, Test Loss: 3.6959, Learning Rate: 0.001250
2025-11-28 00:44:38 | INFO | root | Epoch: 61, Train Loss: 3.6997, Val Acc: 0.0155, Val Loss: 3.6973, Test Acc: 0.0238, Test Loss: 3.6929, Learning Rate: 0.001250
2025-11-28 00:45:13 | INFO | root | Epoch: 62, Train Loss: 3.6985, Val Acc: 0.0226, Val Loss: 3.6956, Test Acc: 0.0155, Test Loss: 3.6974, Learning Rate: 0.001250
2025-11-28 00:45:13 | INFO | root | Early stopping at epoch 62 (no improvement in 20 epochs). Best Val Loss: 3.6911
2025-11-28 00:45:15 | INFO | root | Test Acc: 0.0250, Test Loss: 3.6956
2025-11-28 00:45:15 | INFO | root | Acc: 0.0250±0.0000, Loss: 3.6956±0.0000
