2025-11-28 04:37:21 | INFO | root | Epoch: 26, Train Loss: 0.0393, Val Acc: 0.9631, Val Loss: 0.1288, Test Acc: 0.9619, Test Loss: 0.1549, Learning Rate: 0.001000
2025-11-28 04:37:44 | INFO | root | Epoch: 27, Train Loss: 0.0408, Val Acc: 0.9571, Val Loss: 0.1612, Test Acc: 0.9655, Test Loss: 0.1523, Learning Rate: 0.001000
2025-11-28 04:38:06 | INFO | root | Epoch: 28, Train Loss: 0.0291, Val Acc: 0.9643, Val Loss: 0.1340, Test Acc: 0.9738, Test Loss: 0.1268, Learning Rate: 0.000500
2025-11-28 04:38:29 | INFO | root | Epoch: 29, Train Loss: 0.0232, Val Acc: 0.9714, Val Loss: 0.1213, Test Acc: 0.9702, Test Loss: 0.1294, Learning Rate: 0.000500
2025-11-28 04:38:54 | INFO | root | Epoch: 30, Train Loss: 0.0157, Val Acc: 0.9726, Val Loss: 0.1356, Test Acc: 0.9667, Test Loss: 0.1295, Learning Rate: 0.000500
2025-11-28 04:39:17 | INFO | root | Epoch: 31, Train Loss: 0.0216, Val Acc: 0.9738, Val Loss: 0.1276, Test Acc: 0.9690, Test Loss: 0.1289, Learning Rate: 0.000500
2025-11-28 04:39:39 | INFO | root | Epoch: 32, Train Loss: 0.0174, Val Acc: 0.9714, Val Loss: 0.1370, Test Acc: 0.9726, Test Loss: 0.1251, Learning Rate: 0.000500
2025-11-28 04:40:03 | INFO | root | Epoch: 33, Train Loss: 0.0184, Val Acc: 0.9738, Val Loss: 0.1281, Test Acc: 0.9702, Test Loss: 0.1304, Learning Rate: 0.000500
2025-11-28 04:40:27 | INFO | root | Epoch: 34, Train Loss: 0.0187, Val Acc: 0.9714, Val Loss: 0.1274, Test Acc: 0.9738, Test Loss: 0.1202, Learning Rate: 0.000500
2025-11-28 04:40:51 | INFO | root | Epoch: 35, Train Loss: 0.0175, Val Acc: 0.9679, Val Loss: 0.1388, Test Acc: 0.9702, Test Loss: 0.1248, Learning Rate: 0.000500
2025-11-28 04:41:12 | INFO | root | Epoch: 36, Train Loss: 0.0169, Val Acc: 0.9679, Val Loss: 0.1335, Test Acc: 0.9726, Test Loss: 0.1277, Learning Rate: 0.000500
2025-11-28 04:41:36 | INFO | root | Epoch: 37, Train Loss: 0.0154, Val Acc: 0.9750, Val Loss: 0.1254, Test Acc: 0.9690, Test Loss: 0.1332, Learning Rate: 0.000500
2025-11-28 04:41:36 | INFO | root | Early stopping at epoch 37 (no improvement in 20 epochs). Best Val Loss: 0.1157
2025-11-28 04:41:37 | INFO | root | Test Acc: 0.9667, Test Loss: 0.1353
2025-11-28 04:41:37 | INFO | root | Acc: 0.9667±0.0000, Loss: 0.1353±0.0000
