2025-11-28 00:34:59 | INFO | root | Training thubenchmark with conformer
2025-11-28 00:49:44 | INFO | root | Epoch: 26, Train Loss: 1.7376, Val Acc: 0.5095, Val Loss: 1.3240, Test Acc: 0.4952, Test Loss: 1.3046, Learning Rate: 0.001000
2025-11-28 00:50:16 | INFO | root | Epoch: 27, Train Loss: 1.6461, Val Acc: 0.5369, Val Loss: 1.2576, Test Acc: 0.5393, Test Loss: 1.2689, Learning Rate: 0.001000
2025-11-28 00:50:50 | INFO | root | Epoch: 28, Train Loss: 1.5375, Val Acc: 0.6012, Val Loss: 1.1427, Test Acc: 0.5940, Test Loss: 1.1257, Learning Rate: 0.001000
2025-11-28 00:51:25 | INFO | root | Epoch: 29, Train Loss: 1.4563, Val Acc: 0.6393, Val Loss: 1.0134, Test Acc: 0.6226, Test Loss: 1.0478, Learning Rate: 0.001000
2025-11-28 00:52:00 | INFO | root | Epoch: 30, Train Loss: 1.4435, Val Acc: 0.6381, Val Loss: 0.9958, Test Acc: 0.6083, Test Loss: 1.0166, Learning Rate: 0.001000
2025-11-28 00:52:33 | INFO | root | Epoch: 31, Train Loss: 1.3521, Val Acc: 0.7012, Val Loss: 0.8034, Test Acc: 0.6833, Test Loss: 0.8576, Learning Rate: 0.001000
2025-11-28 00:53:07 | INFO | root | Epoch: 32, Train Loss: 1.2553, Val Acc: 0.6929, Val Loss: 0.9593, Test Acc: 0.6667, Test Loss: 1.0604, Learning Rate: 0.001000
2025-11-28 00:53:43 | INFO | root | Epoch: 33, Train Loss: 1.1887, Val Acc: 0.7238, Val Loss: 0.7485, Test Acc: 0.7274, Test Loss: 0.7497, Learning Rate: 0.001000
2025-11-28 00:54:18 | INFO | root | Epoch: 34, Train Loss: 1.1451, Val Acc: 0.8143, Val Loss: 0.5355, Test Acc: 0.8083, Test Loss: 0.5960, Learning Rate: 0.001000
2025-11-28 00:54:53 | INFO | root | Epoch: 35, Train Loss: 1.0430, Val Acc: 0.8048, Val Loss: 0.6757, Test Acc: 0.8024, Test Loss: 0.6839, Learning Rate: 0.001000
2025-11-28 00:55:27 | INFO | root | Epoch: 36, Train Loss: 0.9493, Val Acc: 0.8786, Val Loss: 0.4338, Test Acc: 0.8762, Test Loss: 0.4941, Learning Rate: 0.001000
2025-11-28 00:56:00 | INFO | root | Epoch: 37, Train Loss: 0.8836, Val Acc: 0.8905, Val Loss: 0.3211, Test Acc: 0.8845, Test Loss: 0.3943, Learning Rate: 0.001000
2025-11-28 00:56:37 | INFO | root | Epoch: 38, Train Loss: 0.8349, Val Acc: 0.8905, Val Loss: 0.4162, Test Acc: 0.8905, Test Loss: 0.3991, Learning Rate: 0.001000
2025-11-28 00:57:17 | INFO | root | Epoch: 39, Train Loss: 0.7945, Val Acc: 0.9060, Val Loss: 0.3495, Test Acc: 0.9000, Test Loss: 0.3762, Learning Rate: 0.001000
2025-11-28 00:58:11 | INFO | root | Epoch: 40, Train Loss: 0.7295, Val Acc: 0.9321, Val Loss: 0.3072, Test Acc: 0.9143, Test Loss: 0.3267, Learning Rate: 0.001000
2025-11-28 00:59:00 | INFO | root | Epoch: 41, Train Loss: 0.6728, Val Acc: 0.9214, Val Loss: 0.2954, Test Acc: 0.9190, Test Loss: 0.3488, Learning Rate: 0.001000
2025-11-28 00:59:43 | INFO | root | Epoch: 42, Train Loss: 0.6323, Val Acc: 0.9357, Val Loss: 0.2638, Test Acc: 0.9250, Test Loss: 0.3426, Learning Rate: 0.001000
2025-11-28 01:00:19 | INFO | root | Epoch: 43, Train Loss: 0.6023, Val Acc: 0.9036, Val Loss: 0.3940, Test Acc: 0.9048, Test Loss: 0.3955, Learning Rate: 0.001000
2025-11-28 01:00:50 | INFO | root | Epoch: 44, Train Loss: 0.6188, Val Acc: 0.9429, Val Loss: 0.2402, Test Acc: 0.9262, Test Loss: 0.3045, Learning Rate: 0.001000
2025-11-28 01:01:37 | INFO | root | Epoch: 45, Train Loss: 0.5502, Val Acc: 0.9262, Val Loss: 0.2826, Test Acc: 0.9202, Test Loss: 0.3279, Learning Rate: 0.001000
2025-11-28 01:02:27 | INFO | root | Epoch: 46, Train Loss: 0.5232, Val Acc: 0.9226, Val Loss: 0.2657, Test Acc: 0.9060, Test Loss: 0.3211, Learning Rate: 0.001000
2025-11-28 01:03:06 | INFO | root | Epoch: 47, Train Loss: 0.5127, Val Acc: 0.9452, Val Loss: 0.2847, Test Acc: 0.9333, Test Loss: 0.3005, Learning Rate: 0.001000
