2025-11-27 18:17:21 | INFO | root | Epoch: 26, Train Loss: 0.2526, Val Acc: 0.9214, Val Loss: 0.3084, Test Acc: 0.9048, Test Loss: 0.3154, Learning Rate: 0.001000
2025-11-27 18:17:37 | INFO | root | Epoch: 27, Train Loss: 0.2370, Val Acc: 0.9131, Val Loss: 0.3075, Test Acc: 0.9083, Test Loss: 0.3057, Learning Rate: 0.001000
2025-11-27 18:17:51 | INFO | root | Epoch: 28, Train Loss: 0.2307, Val Acc: 0.9143, Val Loss: 0.3046, Test Acc: 0.9107, Test Loss: 0.2938, Learning Rate: 0.001000
2025-11-27 18:18:03 | INFO | root | Epoch: 29, Train Loss: 0.2176, Val Acc: 0.9190, Val Loss: 0.3047, Test Acc: 0.9119, Test Loss: 0.2965, Learning Rate: 0.001000
2025-11-27 18:18:16 | INFO | root | Epoch: 30, Train Loss: 0.2072, Val Acc: 0.9179, Val Loss: 0.2994, Test Acc: 0.9179, Test Loss: 0.2852, Learning Rate: 0.001000
2025-11-27 18:18:36 | INFO | root | Epoch: 31, Train Loss: 0.2112, Val Acc: 0.9143, Val Loss: 0.2912, Test Acc: 0.9179, Test Loss: 0.2862, Learning Rate: 0.001000
2025-11-27 18:18:49 | INFO | root | Epoch: 32, Train Loss: 0.1981, Val Acc: 0.9190, Val Loss: 0.2914, Test Acc: 0.9119, Test Loss: 0.2857, Learning Rate: 0.001000
2025-11-27 18:19:03 | INFO | root | Epoch: 33, Train Loss: 0.1885, Val Acc: 0.9190, Val Loss: 0.2854, Test Acc: 0.9262, Test Loss: 0.2653, Learning Rate: 0.001000
2025-11-27 18:19:16 | INFO | root | Epoch: 34, Train Loss: 0.1870, Val Acc: 0.9250, Val Loss: 0.2831, Test Acc: 0.9155, Test Loss: 0.2705, Learning Rate: 0.001000
2025-11-27 18:19:30 | INFO | root | Epoch: 35, Train Loss: 0.1850, Val Acc: 0.9298, Val Loss: 0.2793, Test Acc: 0.9190, Test Loss: 0.2742, Learning Rate: 0.001000
