section,dataset,model,condition,endpoint,scope,seed,value_pp
main_pgd,thubenchmark,tsception,madry,PGD,full_test,46,37.5
main_pgd,thubenchmark,tsception,trades,PGD,full_test,42,7.240948813982522
main_pgd,thubenchmark,tsception,trades,PGD,full_test,43,10.476190476190476
main_pgd,thubenchmark,tsception,trades,PGD,full_test,44,8.452380952380953
main_pgd,thubenchmark,tsception,trades,PGD,full_test,45,11.190476190476192
main_pgd,thubenchmark,tsception,trades,PGD,full_test,46,11.071428571428571
main_pgd,thubenchmark,tsception,fbf,PGD,full_test,42,2.746566791510612
main_pgd,thubenchmark,tsception,fbf,PGD,full_test,43,7.380952380952381
main_pgd,thubenchmark,tsception,fbf,PGD,full_test,44,7.5
main_pgd,thubenchmark,tsception,fbf,PGD,full_test,45,5.714285714285714
main_pgd,thubenchmark,tsception,fbf,PGD,full_test,46,5.0
main_pgd,thubenchmark,tsception,ea_forward,PGD,full_test,42,1.6229712858926344
main_pgd,thubenchmark,tsception,ea_forward,PGD,full_test,43,1.5476190476190477
main_pgd,thubenchmark,tsception,ea_forward,PGD,full_test,44,2.142857142857143
main_pgd,thubenchmark,tsception,ea_forward,PGD,full_test,45,1.6666666666666667
main_pgd,thubenchmark,tsception,ea_forward,PGD,full_test,46,1.7857142857142856
main_pgd,thubenchmark,tsception,RPCF+TNP-r25,PGD,subset_n512,42,45.8984375
main_pgd,thubenchmark,tsception,RPCF+TNP-r25,PGD,subset_n512,43,46.875
main_pgd,thubenchmark,tsception,RPCF+TNP-r25,PGD,subset_n512,44,44.53125
main_pgd,thubenchmark,tsception,RPCF+TNP-r25,PGD,subset_n512,45,47.4609375
main_pgd,thubenchmark,tsception,RPCF+TNP-r25,PGD,subset_n512,46,47.0703125
main_pgd,thubenchmark,tsception,RPCF+TNP-r30,PGD,subset_n512,42,45.703125
main_pgd,thubenchmark,tsception,RPCF+TNP-r30,PGD,subset_n512,43,45.1171875
main_pgd,thubenchmark,tsception,RPCF+TNP-r30,PGD,subset_n512,44,43.75
main_pgd,thubenchmark,tsception,RPCF+TNP-r30,PGD,subset_n512,45,45.1171875
main_pgd,thubenchmark,tsception,RPCF+TNP-r30,PGD,subset_n512,46,45.8984375
main_pgd,thubenchmark,atcnet,madry,PGD,full_test,42,88.26466916354558
main_pgd,thubenchmark,atcnet,madry,PGD,full_test,43,85.11904761904762
main_pgd,thubenchmark,atcnet,madry,PGD,full_test,44,84.64285714285714
main_pgd,thubenchmark,atcnet,madry,PGD,full_test,45,85.71428571428571
main_pgd,thubenchmark,atcnet,madry,PGD,full_test,46,86.90476190476191
main_pgd,thubenchmark,atcnet,trades,PGD,full_test,42,81.64794007490637
main_pgd,thubenchmark,atcnet,trades,PGD,full_test,43,77.97619047619048
main_pgd,thubenchmark,atcnet,trades,PGD,full_test,44,80.71428571428572
main_pgd,thubenchmark,atcnet,trades,PGD,full_test,45,77.02380952380953
main_pgd,thubenchmark,atcnet,trades,PGD,full_test,46,76.66666666666667
main_pgd,thubenchmark,atcnet,fbf,PGD,full_test,42,72.65917602996255
main_pgd,thubenchmark,atcnet,fbf,PGD,full_test,43,68.57142857142857
main_pgd,thubenchmark,atcnet,fbf,PGD,full_test,44,69.64285714285714
main_pgd,thubenchmark,atcnet,fbf,PGD,full_test,45,70.23809523809523
main_pgd,thubenchmark,atcnet,fbf,PGD,full_test,46,70.5952380952381
main_pgd,thubenchmark,atcnet,ea_forward,PGD,full_test,42,28.714107365792756
main_pgd,thubenchmark,atcnet,ea_forward,PGD,full_test,43,27.26190476190476
main_pgd,thubenchmark,atcnet,ea_forward,PGD,full_test,44,27.857142857142858
main_pgd,thubenchmark,atcnet,ea_forward,PGD,full_test,45,0.0
main_pgd,thubenchmark,atcnet,ea_forward,PGD,full_test,46,29.28571428571429
main_pgd,thubenchmark,atcnet,RPCF+TNP-r25,PGD,subset_n512,42,85.7421875
main_pgd,thubenchmark,atcnet,RPCF+TNP-r25,PGD,subset_n512,43,84.765625
main_pgd,thubenchmark,atcnet,RPCF+TNP-r25,PGD,subset_n512,44,84.375
main_pgd,thubenchmark,atcnet,RPCF+TNP-r25,PGD,subset_n512,45,82.2265625
main_pgd,thubenchmark,atcnet,RPCF+TNP-r25,PGD,subset_n512,46,84.5703125
main_pgd,thubenchmark,atcnet,RPCF+TNP-r30,PGD,subset_n512,42,86.1328125
main_pgd,thubenchmark,atcnet,RPCF+TNP-r30,PGD,subset_n512,43,85.7421875
main_pgd,thubenchmark,atcnet,RPCF+TNP-r30,PGD,subset_n512,44,84.5703125
main_pgd,thubenchmark,atcnet,RPCF+TNP-r30,PGD,subset_n512,45,82.8125
main_pgd,thubenchmark,atcnet,RPCF+TNP-r30,PGD,subset_n512,46,84.5703125
main_pgd,thubenchmark,conformer,madry,PGD,full_test,42,75.15605493133583
main_pgd,thubenchmark,conformer,madry,PGD,full_test,43,76.90476190476191
main_pgd,thubenchmark,conformer,madry,PGD,full_test,44,73.69047619047619
main_pgd,thubenchmark,conformer,madry,PGD,full_test,45,77.26190476190476
main_pgd,thubenchmark,conformer,madry,PGD,full_test,46,75.0
main_pgd,thubenchmark,conformer,trades,PGD,full_test,42,41.19850187265918
main_pgd,thubenchmark,conformer,trades,PGD,full_test,43,57.97619047619048
main_pgd,thubenchmark,conformer,trades,PGD,full_test,44,55.952380952380956
main_pgd,thubenchmark,conformer,trades,PGD,full_test,45,67.38095238095238
main_pgd,thubenchmark,conformer,trades,PGD,full_test,46,65.5952380952381
main_pgd,thubenchmark,conformer,fbf,PGD,full_test,42,57.42821473158551
main_pgd,thubenchmark,conformer,fbf,PGD,full_test,43,65.11904761904762
main_pgd,thubenchmark,conformer,fbf,PGD,full_test,44,50.357142857142854
main_pgd,thubenchmark,conformer,fbf,PGD,full_test,45,51.3095238095238
main_pgd,thubenchmark,conformer,fbf,PGD,full_test,46,61.54761904761905
main_pgd,thubenchmark,conformer,ea_forward,PGD,full_test,42,14.981273408239701
main_pgd,thubenchmark,conformer,ea_forward,PGD,full_test,43,16.547619047619047
main_pgd,thubenchmark,conformer,ea_forward,PGD,full_test,44,2.0238095238095237
main_pgd,thubenchmark,conformer,ea_forward,PGD,full_test,45,0.4761904761904762
main_pgd,thubenchmark,conformer,ea_forward,PGD,full_test,46,17.976190476190474
main_pgd,thubenchmark,conformer,RPCF+TNP-r25,PGD,subset_n512,42,79.296875
main_pgd,thubenchmark,conformer,RPCF+TNP-r25,PGD,subset_n512,43,80.46875
main_pgd,thubenchmark,conformer,RPCF+TNP-r25,PGD,subset_n512,44,77.734375
main_pgd,thubenchmark,conformer,RPCF+TNP-r25,PGD,subset_n512,45,75.5859375
main_pgd,thubenchmark,conformer,RPCF+TNP-r25,PGD,subset_n512,46,79.1015625
main_pgd,thubenchmark,conformer,RPCF+TNP-r30,PGD,subset_n512,42,78.515625
main_pgd,thubenchmark,conformer,RPCF+TNP-r30,PGD,subset_n512,43,79.296875
main_pgd,thubenchmark,conformer,RPCF+TNP-r30,PGD,subset_n512,44,78.515625
main_pgd,thubenchmark,conformer,RPCF+TNP-r30,PGD,subset_n512,45,76.171875
main_pgd,thubenchmark,conformer,RPCF+TNP-r30,PGD,subset_n512,46,78.90625
main_pgd,thubenchmark,tcnet,madry,PGD,full_test,42,46.81647940074906
main_pgd,thubenchmark,tcnet,madry,PGD,full_test,43,52.61904761904762
main_pgd,thubenchmark,tcnet,madry,PGD,full_test,44,52.61904761904762
main_pgd,thubenchmark,tcnet,madry,PGD,full_test,45,46.42857142857143
main_pgd,thubenchmark,tcnet,madry,PGD,full_test,46,52.142857142857146
main_pgd,thubenchmark,tcnet,trades,PGD,full_test,42,21.5980024968789
main_pgd,thubenchmark,tcnet,trades,PGD,full_test,43,24.88095238095238
main_pgd,thubenchmark,tcnet,trades,PGD,full_test,44,23.095238095238095
main_pgd,thubenchmark,tcnet,trades,PGD,full_test,45,26.30952380952381
main_pgd,thubenchmark,tcnet,trades,PGD,full_test,46,27.857142857142858
main_pgd,thubenchmark,tcnet,fbf,PGD,full_test,42,22.47191011235955
main_pgd,thubenchmark,tcnet,fbf,PGD,full_test,43,27.500000000000004
main_pgd,thubenchmark,tcnet,fbf,PGD,full_test,44,22.5
main_pgd,thubenchmark,tcnet,fbf,PGD,full_test,45,24.047619047619047
main_pgd,thubenchmark,tcnet,fbf,PGD,full_test,46,24.047619047619047
main_pgd,thubenchmark,tcnet,ea_forward,PGD,full_test,42,0.0
main_pgd,thubenchmark,tcnet,ea_forward,PGD,full_test,43,0.0
main_pgd,thubenchmark,tcnet,ea_forward,PGD,full_test,44,0.0
main_pgd,thubenchmark,tcnet,ea_forward,PGD,full_test,45,0.0
main_pgd,thubenchmark,tcnet,ea_forward,PGD,full_test,46,0.0
main_pgd,thubenchmark,tcnet,RPCF+TNP-r25,PGD,subset_n512,42,58.7890625
main_pgd,thubenchmark,tcnet,RPCF+TNP-r25,PGD,subset_n512,43,63.28125
main_pgd,thubenchmark,tcnet,RPCF+TNP-r25,PGD,subset_n512,44,57.2265625
main_pgd,thubenchmark,tcnet,RPCF+TNP-r25,PGD,subset_n512,45,55.6640625
main_pgd,thubenchmark,tcnet,RPCF+TNP-r25,PGD,subset_n512,46,58.984375
main_pgd,thubenchmark,tcnet,RPCF+TNP-r30,PGD,subset_n512,42,58.984375
main_pgd,thubenchmark,tcnet,RPCF+TNP-r30,PGD,subset_n512,43,63.28125
main_pgd,thubenchmark,tcnet,RPCF+TNP-r30,PGD,subset_n512,44,56.640625
main_pgd,thubenchmark,tcnet,RPCF+TNP-r30,PGD,subset_n512,45,53.3203125
main_pgd,thubenchmark,tcnet,RPCF+TNP-r30,PGD,subset_n512,46,57.6171875
main_pgd,seediv,eegnet,madry,PGD,full_test,42,29.243027888446214
main_pgd,seediv,eegnet,madry,PGD,full_test,43,29.933598937583
main_pgd,seediv,eegnet,madry,PGD,full_test,44,23.213811420982736
main_pgd,seediv,eegnet,madry,PGD,full_test,45,26.13545816733068
main_pgd,seediv,eegnet,madry,PGD,full_test,46,21.40770252324037
main_pgd,seediv,eegnet,trades,PGD,full_test,42,2.0717131474103585
main_pgd,seediv,eegnet,trades,PGD,full_test,43,2.0185922974767596
main_pgd,seediv,eegnet,trades,PGD,full_test,44,1.7264276228419653
main_pgd,seediv,eegnet,trades,PGD,full_test,45,1.859229747675963
main_pgd,seediv,eegnet,trades,PGD,full_test,46,1.859229747675963
main_pgd,seediv,eegnet,fbf,PGD,full_test,42,11.367861885790173
main_pgd,seediv,eegnet,fbf,PGD,full_test,43,9.05710491367862
main_pgd,seediv,eegnet,fbf,PGD,full_test,44,9.588313413014609
main_pgd,seediv,eegnet,fbf,PGD,full_test,45,9.136786188579018
main_pgd,seediv,eegnet,fbf,PGD,full_test,46,10.650730411686588
main_pgd,seediv,eegnet,ea_forward,PGD,full_test,42,27.11819389110226
main_pgd,seediv,eegnet,ea_forward,PGD,full_test,43,15.086321381142099
main_pgd,seediv,eegnet,ea_forward,PGD,full_test,44,19.9734395750332
main_pgd,seediv,eegnet,ea_forward,PGD,full_test,45,25.763612217795483
main_pgd,seediv,eegnet,ea_forward,PGD,full_test,46,21.062416998671978
main_pgd,seediv,eegnet,RPCF+TNP-r25,PGD,subset_n512,42,28.7109375
main_pgd,seediv,eegnet,RPCF+TNP-r25,PGD,subset_n512,43,31.0546875
main_pgd,seediv,eegnet,RPCF+TNP-r25,PGD,subset_n512,44,27.5390625
main_pgd,seediv,eegnet,RPCF+TNP-r25,PGD,subset_n512,45,33.7890625
main_pgd,seediv,eegnet,RPCF+TNP-r25,PGD,subset_n512,46,30.2734375
main_pgd,seediv,eegnet,RPCF+TNP-r30,PGD,subset_n512,42,27.5390625
main_pgd,seediv,eegnet,RPCF+TNP-r30,PGD,subset_n512,43,30.859375
main_pgd,seediv,eegnet,RPCF+TNP-r30,PGD,subset_n512,44,26.3671875
main_pgd,seediv,eegnet,RPCF+TNP-r30,PGD,subset_n512,45,32.421875
main_pgd,seediv,eegnet,RPCF+TNP-r30,PGD,subset_n512,46,30.46875
main_pgd,seediv,deepconvnet,madry,PGD,full_test,42,23.08100929614874
main_pgd,seediv,deepconvnet,madry,PGD,full_test,43,23.53253652058433
main_pgd,seediv,deepconvnet,madry,PGD,full_test,44,21.221779548472774
main_pgd,seediv,deepconvnet,madry,PGD,full_test,45,24.276228419654714
main_pgd,seediv,deepconvnet,madry,PGD,full_test,46,24.54183266932271
main_pgd,seediv,deepconvnet,trades,PGD,full_test,42,0.9296148738379815
main_pgd,seediv,deepconvnet,trades,PGD,full_test,43,0.9296148738379815
main_pgd,seediv,deepconvnet,trades,PGD,full_test,44,0.5312084993359893
main_pgd,seediv,deepconvnet,trades,PGD,full_test,45,0.7702523240371846
main_pgd,seediv,deepconvnet,trades,PGD,full_test,46,1.0092961487383798
main_pgd,seediv,deepconvnet,fbf,PGD,full_test,42,4.276228419654714
main_pgd,seediv,deepconvnet,fbf,PGD,full_test,43,4.276228419654714
main_pgd,seediv,deepconvnet,fbf,PGD,full_test,44,3.0810092961487383
main_pgd,seediv,deepconvnet,fbf,PGD,full_test,45,5.551128818061089
main_pgd,seediv,deepconvnet,fbf,PGD,full_test,46,3.5856573705179287
main_pgd,seediv,deepconvnet,ea_forward,PGD,full_test,42,10.916334661354583
main_pgd,seediv,deepconvnet,ea_forward,PGD,full_test,43,12.855245683930944
main_pgd,seediv,deepconvnet,ea_forward,PGD,full_test,44,13.731739707835326
main_pgd,seediv,deepconvnet,ea_forward,PGD,full_test,45,14.369189907038512
main_pgd,seediv,deepconvnet,ea_forward,PGD,full_test,46,10.119521912350598
main_pgd,seediv,deepconvnet,RPCF+TNP-r25,PGD,subset_n512,42,22.0703125
main_pgd,seediv,deepconvnet,RPCF+TNP-r25,PGD,subset_n512,43,26.3671875
main_pgd,seediv,deepconvnet,RPCF+TNP-r25,PGD,subset_n512,44,23.828125
main_pgd,seediv,deepconvnet,RPCF+TNP-r25,PGD,subset_n512,45,25.78125
main_pgd,seediv,deepconvnet,RPCF+TNP-r25,PGD,subset_n512,46,25.78125
main_pgd,seediv,deepconvnet,RPCF+TNP-r30,PGD,subset_n512,42,22.8515625
main_pgd,seediv,deepconvnet,RPCF+TNP-r30,PGD,subset_n512,43,25.78125
main_pgd,seediv,deepconvnet,RPCF+TNP-r30,PGD,subset_n512,44,24.0234375
main_pgd,seediv,deepconvnet,RPCF+TNP-r30,PGD,subset_n512,45,25.5859375
main_pgd,seediv,deepconvnet,RPCF+TNP-r30,PGD,subset_n512,46,25.5859375
main_pgd,seediv,tsception,madry,PGD,full_test,42,33.75830013280213
main_pgd,seediv,tsception,madry,PGD,full_test,43,33.54581673306773
main_pgd,seediv,tsception,madry,PGD,full_test,44,32.80212483399734
main_pgd,seediv,tsception,madry,PGD,full_test,45,34.9003984063745
main_pgd,seediv,tsception,madry,PGD,full_test,46,34.68791500664011
main_pgd,seediv,tsception,trades,PGD,full_test,42,0.4780876494023904
