comparison,dataset,model,method,attack,scope,rank,metric,seed_count,mean_delta_pp,sample_std_pp,positive_seeds
rpcf_minus_madry,thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,robust,5,0.3629391831639006,1.0292993652501834,3
rpcf_minus_madry,thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,clean,5,0.43374353486713035,1.829783190858345,3
rpcf_minus_madry,thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,robust,5,0.46165507401462413,1.2516900231774561,3
rpcf_minus_madry,thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,clean,5,0.43374353486713035,1.829783190858345,3
rpcf_minus_madry,thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,robust,5,-0.382111646156591,0.94601230793429,2
rpcf_minus_madry,thubenchmark,tcnet,rpcf_at,cw,full_test,raw,clean,5,0.43374353486713035,1.829783190858345,3
rpcf_minus_madry,thubenchmark,tcnet,rpcf_at,cw,full_test,raw,robust,5,0.12020688425182809,0.612840609704599,3
rpcf_minus_madry,seediv,eegnet,rpcf_at,autoattack,full_test,raw,clean,5,1.933598937583001,1.0833593297597681,5
rpcf_minus_madry,seediv,eegnet,rpcf_at,autoattack,full_test,raw,robust,5,3.2881806108897753,3.6838361514061955,4
rpcf_minus_madry,seediv,eegnet,rpcf_at,fgsm,full_test,raw,clean,5,1.933598937583001,1.0833593297597681,5
rpcf_minus_madry,seediv,eegnet,rpcf_at,fgsm,full_test,raw,robust,5,2.608233731739709,2.949905592161956,4
rpcf_minus_madry,seediv,eegnet,rpcf_at,pgd,full_test,raw,clean,5,1.933598937583001,1.0833593297597681,5
rpcf_minus_madry,seediv,eegnet,rpcf_at,pgd,full_test,raw,robust,5,2.6560424966799467,2.8777947737057605,4
rpcf_minus_madry,seediv,eegnet,rpcf_at,cw,full_test,raw,clean,5,1.933598937583001,1.0833593297597681,5
rpcf_minus_madry,seediv,eegnet,rpcf_at,cw,full_test,raw,robust,5,-2.863213811420983,3.5313081369822026,0
rpcf_minus_madry,seediv,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,5,0.3824701195219127,0.5592215322383893,4
rpcf_minus_madry,seediv,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,5,-3.298804780876493,0.9560646239622537,0
rpcf_minus_madry,seediv,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,5,0.3824701195219127,0.5592215322383893,4
rpcf_minus_madry,seediv,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,5,-2.7729083665338643,0.9779864422754275,0
